fk_class_id,fk_trademark_gid,fk_tm_class_status_cd,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,gds_srvcs_stmnt_tx,gds_srvcs_stmnt_annotated_tx,first_use_in_commerce_month_no,first_use_in_commerce_day_no,first_use_in_commerce_year_no,first_use_anywhere_month_no,first_use_anywhere_day_no,first_use_anywhere_year_no,intent_to_use_dt,action_ct,status_dt,excessive_character_fee_cnt_no
293,Trademark:0:73684715,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,CHEESE,null,8,27,1987,8,27,1987,null,I,0001-01-01T00:00:00.000Z,0
280,Trademark:0:73684722,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"USER MANUALS, DATA SHEETS AND BINDERS THEREFOR",null,8,19,1987,8,19,1987,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73684787,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,PRERECORDED VIDEO TAPES AND VIDEO CASSETTES,null,11,0,1984,5,0,1984,null,I,0001-01-01T00:00:00.000Z,0
275,Trademark:0:73684788,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,MANUAL GUILLOTINE DAMPERS FOR INDUSTRIAL USE,null,8,21,1987,8,21,1987,null,I,0001-01-01T00:00:00.000Z,0
268,Trademark:0:73684791,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,CHARCOAL BRIQUETS,null,3,31,1980,3,31,1980,null,I,0001-01-01T00:00:00.000Z,0
280,Trademark:0:73684805,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"ILLUSTRATED STORYBOOKS, COMIC BOOKS, COLOURING BOOKS, MAGAZINES, NEWSPAPERS, POST CARDS, GREETING CARDS, POSTERS, CALENDARS",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73693654,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"TRAINING KITS COMPRISING INSTRUCTIONAL VIDEO TAPES AND USER MANUALS, SOLD AS A UNIT",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
299,Trademark:0:73693684,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"ADVERTISING SERVICES, NAMELY PROVIDING BUSINESSMEN WITH NAMES OF POTENTIAL CUSTOMERS",null,10,1,1987,10,1,1987,null,I,0001-01-01T00:00:00.000Z,0
299,Trademark:0:73672406,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,CREDIT CARD REGISTRATION SERVICES,null,7,1,1987,7,1,1987,null,I,0001-01-01T00:00:00.000Z,0
289,Trademark:0:73693726,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"CLOTHING; NAMELY, SHIRTS, SLACKS AND SHORTS",null,9,19,1987,9,10,1987,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73693726,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-25T23:20:01.187Z,SUNGLASSES AND PARTS THEREOF,null,9,19,1987,9,10,1987,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73756252,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,READING GLASSES AND CONTAINERS THEREFOR,null,6,0,1988,6,0,1988,null,I,0001-01-01T00:00:00.000Z,0
299,Trademark:0:73756258,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,TEMPORARY EMPLOYMENT PLACEMENT SERVICES,null,10,0,1985,10,0,1985,null,I,0001-01-01T00:00:00.000Z,0
300,Trademark:0:73756312,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"BANKING SERVICES, NAMELY, ISSUING CERTIFICATES OF DEPOSITS AND MORTGAGE LENDING SERVICES",null,9,29,1984,9,29,1984,null,I,0001-01-01T00:00:00.000Z,0
284,Trademark:0:73756333,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-23T23:20:02.141Z,"NOVELTY ITEMS, NAMELY BASEBALL HELMETS WITH NOVELTY ATTACHMENTS",null,9,12,1988,8,21,1988,null,I,0001-01-01T00:00:00.000Z,0
280,Trademark:0:73651782,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"MAGAZINES CONCERNING PERSONALITIES, ENTERTAINMENT, NEWS, AND MATTERS OF GENERAL INTEREST",null,5,0,1985,5,0,1985,null,I,0001-01-01T00:00:00.000Z,0
280,Trademark:0:73651833,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,"PAMPHLETS, BOOKLETS, AND PRINTED SHEETS DEALING WITH HEALTH AWARENESS",null,6,17,1986,6,17,1986,null,I,0001-01-01T00:00:00.000Z,0
282,Trademark:0:73651867,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"LEATHER AND IMITATION LEATHER GOODS, NAMELY, ATTACHE CASES, BRIEFCASES, LUGGAGE, TOTEBAGS, PURSES AND WALLETS",null,12,12,1986,9,18,1986,null,I,0001-01-01T00:00:00.000Z,0
293,Trademark:0:73651870,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,MEXICAN SALAD DRESSING,null,3,1,1985,3,1,1985,null,I,0001-01-01T00:00:00.000Z,0
289,Trademark:0:73651895,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,HOSIERY,null,0,0,1985,0,0,1985,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73651908,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-13T23:20:01.628Z,INSTRUMENT FOR MEASURING ION CURRENT,null,3,10,1987,3,10,1987,null,I,0001-01-01T00:00:00.000Z,0
325,Trademark:0:74254343,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-14T23:20:01.599Z,blank note cards with debossed front panel with self adhesive strips for the purpose of accommodating a photographic print,null,12,0,1991,12,0,1990,null,I,0001-01-01T00:00:00.000Z,0
331,Trademark:0:74254039,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,sails,null,1,0,1988,1,0,1988,null,I,0001-01-01T00:00:00.000Z,0
318,Trademark:0:74254030,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,vacuum cleaners,null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
312,Trademark:0:74254041,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,automobile polishing waxes,null,9,6,1986,8,1,1986,null,I,0001-01-01T00:00:00.000Z,0
321,Trademark:0:74254173,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,automotive decorative trim,null,4,0,1991,4,0,1991,null,I,0001-01-01T00:00:00.000Z,0
351,Trademark:0:75016623,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-14T23:20:01.599Z,"managed health care, namely occupational managed care",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
350,Trademark:0:74254193,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,"educational and entertainment services; namely, television talk shows devoted to topics related to mental health",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
280,Trademark:0:73535783,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,WEEKLY BUSINESS NEWSPAPER,null,4,0,1985,4,0,1985,null,I,0001-01-01T00:00:00.000Z,0
268,Trademark:0:73502973,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,FUEL OIL CARTRIDGES,null,2,17,1978,2,17,1978,null,I,0001-01-01T00:00:00.000Z,0
300,Trademark:0:73385158,1,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,SCHOOL FUNDRAISING SERVICES,null,9,1,1981,9,1,1981,null,I,0001-01-01T00:00:00.000Z,0
267,Trademark:0:73441424,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-24T23:20:02.143Z,THERMO-ACTIVE FOOT POWDER,null,7,0,1983,7,0,1983,null,I,0001-01-01T00:00:00.000Z,0
299,Trademark:0:73543285,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,VINYL STICKERS,null,10,18,1984,10,18,1984,null,I,0001-01-01T00:00:00.000Z,0
289,Trademark:0:73535791,9,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,SHOES AND BOOTS,null,4,1,1985,3,1,1985,null,I,0001-01-01T00:00:00.000Z,0
294,Trademark:0:73535823,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,FOOD FLAVORINGS FOR MANUFACTURING AND PROFESSIONAL USE,null,4,11,1985,4,11,1985,null,I,0001-01-01T00:00:00.000Z,0
269,Trademark:0:73684835,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,CATTLE VACCINE,null,8,28,1987,8,28,1987,null,I,0001-01-01T00:00:00.000Z,0
267,Trademark:0:73684840,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,CLEANING AND DEGREASING COMPOSITIONS FOR INDUSTRIAL USE,null,1,3,1986,1,3,1986,null,I,0001-01-01T00:00:00.000Z,0
292,Trademark:0:73684862,B,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,"[ TOYS, NAMELY, BOARD GAMES, STUFFED ANIMALS AND DOLLS ]",null,6,1,1962,6,1,1962,null,I,0001-01-01T00:00:00.000Z,0
280,Trademark:0:74099255,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-25T23:20:01.187Z,greeting cards,null,1,13,1986,1,13,1986,null,I,0001-01-01T00:00:00.000Z,0
429,Trademark:0:78338881,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,Providing restaurant insurance information via the Internet,null,8,0,2001,8,0,2001,null,I,0001-01-01T00:00:00.000Z,0
418,Trademark:0:76612071,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,clothing,null,8,30,1999,8,30,1999,null,I,0001-01-01T00:00:00.000Z,0
438,Trademark:0:78338881,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,Providing information about the safety needs of restaurants via the Internet,null,8,0,2001,8,0,2001,null,I,0001-01-01T00:00:00.000Z,0
400,Trademark:0:76612088,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"Earthmoving equipment namely mechanical diggers and loaders; ground engaging tools for use with mechanical diggers and loaders namely shrouds, lips, adaptors and teeth",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
398,Trademark:0:76612090,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,FEED SUPPLEMENT FOR HORSES,null,1,19,2005,1,19,2005,2006-02-28T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
387,Trademark:0:75746099,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-12T23:20:01.539Z,ELECTRONIC PROCESSING OF CHARITABLE CONTRIBUTIONS VIA A GLOBAL COMPUTER NETWORK,null,6,2,1999,6,2,1999,null,I,0001-01-01T00:00:00.000Z,0
387,Trademark:0:75743983,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-25T23:20:01.533Z,REAL ESTATE RENTAL AND LEASING SERVICES,null,11,30,1999,11,30,1999,2001-04-03T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
352,Trademark:0:76162587,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,Synthetic resins for use in the manufacture of road marking paints,null,3,1,2003,3,1,2003,2003-03-06T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
379,Trademark:0:75743987,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,PLUSH TOYS,null,11,0,2000,11,0,2000,2000-12-13T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
386,Trademark:0:75743989,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,advertising agency services,null,11,1,2000,11,1,2000,2001-02-06T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
376,Trademark:0:75755334,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,"t-shirts, caps, etc",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
338,Trademark:0:74501923,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,"restaurant menu item, namely a steak dinner",null,12,20,1993,12,20,1993,null,I,0001-01-01T00:00:00.000Z,0
360,Trademark:0:75376576,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"educational services, namely, providing seminars and courses on religion and spirituality",null,2,28,1995,2,28,1995,null,I,0001-01-01T00:00:00.000Z,0
393,Trademark:0:75376585,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,Product development and product development consultation in the restaurant and concession industry,null,6,0,2005,6,0,2005,2005-10-12T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
369,Trademark:0:75376633,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,LEATHER GOODS AND IMITATIONS OF LEATHER,null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
365,Trademark:0:75376633,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,"JEWELRY, WATCHES, CLOCKS AND PARTS THEREFOR",null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
382,Trademark:0:75376635,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-12T23:20:01.539Z,Bananas,null,3,0,1992,3,0,1992,null,I,0001-01-01T00:00:00.000Z,0
387,Trademark:0:75376647,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,"gasoline-related fuel services including brokering, retail sales and purchasing and consulting",null,9,16,1997,8,1,1997,null,I,0001-01-01T00:00:00.000Z,0
348,Trademark:0:75032394,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-22T23:20:02.064Z,"transport of marine equipment, operating ports and docks by boat; warehouse storage of boats, boathouse services, rental of boats, and boat chartering for fishing expeditions",null,2,25,1976,2,25,1976,null,I,0001-01-01T00:00:00.000Z,0
318,Trademark:0:75032467,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,computer software to help manage help desks,null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
329,Trademark:0:75032453,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,"office furniture, namely, chairs",null,10,25,1995,10,25,1995,null,I,0001-01-01T00:00:00.000Z,0
351,Trademark:0:75032503,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,restaurant services,null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
306,Trademark:0:74099246,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,"retail store services in the field of silverware; namely, flatware, hollowware and gift merchandise",null,9,0,1976,9,0,1976,null,I,0001-01-01T00:00:00.000Z,0
306,Trademark:0:74099183,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,men's retail clothing store services,null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
304,Trademark:0:74099284,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,photographic film developing services,null,4,0,1991,4,0,1991,1992-05-06T00:00:00.000Z,I,0001-01-01T00:00:00.000Z,0
292,Trademark:0:74099307,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,computer game programs,null,0,0,0,0,0,0,null,I,0001-01-01T00:00:00.000Z,0
299,Trademark:0:74099421,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,promoting tourism and the commercial interests of San Antonio,null,4,30,1990,4,30,1990,null,I,0001-01-01T00:00:00.000Z,0
284,Trademark:0:74099324,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,mattresses and box springs,null,7,0,1985,7,0,1985,null,I,0001-01-01T00:00:00.000Z,0
393,Trademark:0:75642222,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,"providing hospital, clinical, surgical and non-surgical medical and health care services on in-patient and out-patient bases",null,2,0,1997,2,0,1997,null,I,0001-01-01T00:00:00.000Z,0
372,Trademark:0:75546462,6,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-21T23:20:02.061Z,Plastic jars used in the preparation of dietary food supplements,null,0,0,1985,0,0,1985,null,I,0001-01-01T00:00:00.000Z,0
