ser_num,filing_dt,ib_notification_dt,dv_type,ref_ser_num,dv_dt_rqst,dv_dt_complete,last_modified_date,trans_dt,create_ts,create_user_id,update_ts,update_user_id
90090108,2020-08-03,null,PARENT,90977138,null,2022-05-10,2024-04-11,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
90977277,2020-08-27,null,CHILD,90143043,2022-06-07,2022-06-07,2023-07-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97361300,2022-04-13,null,PARENT,97975612,null,2023-04-25,2026-01-26,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97608156,2022-09-27,null,PARENT,97977733,null,2024-03-18,2025-10-09,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
74802502,1993-07-06,null,CHILD,74409522,1995-06-06,1995-12-11,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
75976053,1995-05-30,null,CHILD,74682091,1997-04-09,1997-11-11,2017-01-07,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
75983034,2002-02-05,null,CHILD,76367766,2002-10-08,2002-10-08,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
76348474,2001-12-13,null,PARENT,76978249,null,2006-07-18,2018-06-26,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
76465191,2002-11-07,null,PARENT,76976946,null,2004-07-15,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
77979514,2009-02-05,null,CHILD,77664243,2010-04-29,2010-04-29,2017-01-13,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78433608,2004-06-11,null,PARENT,78978698,null,2007-06-18,2017-01-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78978735,2005-10-26,null,CHILD,78741299,2007-06-07,2007-06-07,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78978760,2006-07-18,null,CHILD,78932394,2007-06-18,2007-06-18,2019-03-22,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78979942,2006-04-17,null,CHILD,78862546,2008-03-06,2008-03-06,2023-03-31,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85320698,2011-05-13,null,PARENT,85976953,null,2012-06-01,2022-06-11,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85976923,2010-04-09,null,CHILD,85010729,2012-06-07,2012-06-07,2026-05-15,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85981488,2012-02-08,null,CHILD,85537521,2014-03-20,2014-03-20,2019-08-22,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86976090,2013-09-30,null,CHILD,86078010,2015-04-14,2015-04-14,2025-09-21,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86979826,2014-11-03,null,CHILD,86442942,2016-07-20,2016-07-20,2023-03-10,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86980813,2015-12-07,null,CHILD,86840976,2016-11-17,2016-11-17,2023-07-21,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87180714,2016-09-22,null,PARENT,87975603,null,2017-07-25,2020-07-06,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88524226,2019-07-19,null,PARENT,88980685,null,2021-02-24,2025-01-22,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88546706,2019-07-29,null,PARENT,88983452,null,2021-12-03,2023-11-21,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88984208,2020-04-29,null,CHILD,88893062,2022-05-11,2022-05-11,2022-06-14,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
90976230,2020-11-09,null,CHILD,90306726,2022-01-06,2022-01-06,2023-02-23,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98156534,2023-08-29,null,PARENT,98975939,null,2025-05-23,2026-07-23,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98745749,2024-09-11,null,PARENT,98977395,null,2026-01-12,2026-07-22,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98978739,2024-05-24,null,CHILD,98567371,2026-07-23,2026-07-23,2026-08-18,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
75983436,1998-03-24,null,CHILD,75456047,2004-01-16,2004-01-21,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
76976316,2001-06-28,null,CHILD,76278625,2004-01-23,2004-01-23,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
77297178,2007-10-05,null,PARENT,77975759,null,2008-07-23,2020-02-03,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78975014,2001-02-02,null,CHILD,78046226,2003-01-17,2003-01-21,2023-12-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85050945,2010-05-29,null,PARENT,85975017,null,2010-09-30,2017-09-15,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85643354,2012-06-05,null,PARENT,85979740,null,2013-07-30,2021-12-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85970317,2013-06-26,null,PARENT,85981455,null,2014-03-18,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85976013,2010-06-07,null,CHILD,85056235,2011-12-09,2011-12-09,2023-02-27,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85976293,2010-07-13,null,CHILD,85083024,2012-02-15,2012-02-15,2018-10-26,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85982888,2013-02-13,null,CHILD,85848434,2015-05-19,2015-05-19,2025-11-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86976418,2014-05-27,null,CHILD,86292282,2015-05-20,2015-05-20,2022-01-28,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87981960,2018-01-10,null,CHILD,87749539,2019-09-25,2019-09-25,2026-02-02,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88253359,2019-01-08,null,PARENT,88977320,null,2020-04-02,2020-06-09,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88806131,2020-02-21,null,PARENT,88984155,null,2022-04-29,2023-06-24,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
90759514,2021-06-07,null,PARENT,90978120,null,2022-09-13,2023-05-22,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
90977623,2020-06-23,null,CHILD,90016507,2022-07-13,2022-07-13,2023-12-05,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97614730,2022-09-30,null,PARENT,97976428,null,2023-09-07,2026-08-31,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97812926,2023-02-27,null,PARENT,97978919,null,2024-09-20,2026-04-29,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98548647,2024-05-13,null,PARENT,98976908,null,2025-10-27,2025-10-27,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98975534,2024-01-13,null,CHILD,98356590,2025-02-11,2025-02-11,2026-06-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98978152,2023-12-22,null,CHILD,98328083,2026-05-12,2026-05-12,2026-06-02,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
74450722,1993-10-19,null,PARENT,75978242,null,1999-06-08,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
75980417,1997-07-30,null,CHILD,75333293,2001-02-22,2001-04-09,2022-03-19,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
