trademark_gid,fk_mark_drawing_type_cd,fk_fee_process_type_cd,serial_num_tx,registration_num,filing_dt,registry_ct,standard_character_tx,mark_description_tx,preferred_contact_method_ct,effective_filing_dt,collective_in,legacy_status_cd,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,status_dt,last_action_dt,action_ct,available_for_sou_in,external_reference_tx,last_event_type_cd,uspto_generated_image_in,fk_filed_fee_process_type_cd
Trademark:0:60000049,0,TEAS,60000049,49,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.118Z,3333330002,2016-03-16T21:09:49.118Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.118Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000053,0,TEAS,60000053,53,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.121Z,3333330002,2016-03-16T21:09:49.121Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.121Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000054,0,TEAS,60000054,54,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.121Z,3333330002,2016-03-16T21:09:49.121Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.121Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000055,0,TEAS,60000055,55,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.122Z,3333330002,2016-03-16T21:09:49.122Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.122Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000056,0,TEAS,60000056,56,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.122Z,3333330002,2016-03-16T21:09:49.122Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.122Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000057,0,TEAS,60000057,57,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.123Z,3333330002,2016-03-16T21:09:49.123Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.123Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000058,0,TEAS,60000058,58,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.124Z,3333330002,2016-03-16T21:09:49.124Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.124Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000059,0,TEAS,60000059,59,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.124Z,3333330002,2016-03-16T21:09:49.124Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.124Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000061,0,TEAS,60000061,61,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.125Z,3333330002,2016-03-16T21:09:49.125Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.125Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000062,0,TEAS,60000062,62,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.126Z,3333330002,2016-03-16T21:09:49.126Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.126Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000063,0,TEAS,60000063,63,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.126Z,3333330002,2016-03-16T21:09:49.126Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.126Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000065,0,TEAS,60000065,65,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.127Z,3333330002,2016-03-16T21:09:49.127Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.127Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000066,0,TEAS,60000066,66,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.128Z,3333330002,2016-03-16T21:09:49.128Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.128Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000068,0,TEAS,60000068,68,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.129Z,3333330002,2016-03-16T21:09:49.129Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.129Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000069,0,TEAS,60000069,69,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.130Z,3333330002,2016-03-16T21:09:49.130Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.130Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000070,0,TEAS,60000070,70,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.130Z,3333330002,2016-03-16T21:09:49.130Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.130Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000071,0,TEAS,60000071,71,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.131Z,3333330002,2016-03-16T21:09:49.131Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.131Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000072,0,TEAS,60000072,72,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.132Z,3333330002,2016-03-16T21:09:49.132Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.132Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000073,0,TEAS,60000073,73,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.132Z,3333330002,2016-03-16T21:09:49.132Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.132Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000074,0,TEAS,60000074,74,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.133Z,3333330002,2016-03-16T21:09:49.133Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.133Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000075,0,TEAS,60000075,75,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.134Z,3333330002,2016-03-16T21:09:49.134Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.134Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000076,0,TEAS,60000076,76,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.134Z,3333330002,2016-03-16T21:09:49.134Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.134Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000077,0,TEAS,60000077,77,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.135Z,3333330002,2016-03-16T21:09:49.135Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.135Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000079,0,TEAS,60000079,79,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.135Z,3333330002,2016-03-16T21:09:49.135Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.135Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000081,0,TEAS,60000081,81,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.137Z,3333330002,2016-03-16T21:09:49.137Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.137Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000084,0,TEAS,60000084,84,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.138Z,3333330002,2016-03-16T21:09:49.138Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.138Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000085,0,TEAS,60000085,85,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.138Z,3333330002,2016-03-16T21:09:49.138Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.138Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000087,0,TEAS,60000087,87,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.140Z,3333330002,2016-03-16T21:09:49.140Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.140Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000088,0,TEAS,60000088,88,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.140Z,3333330002,2016-03-16T21:09:49.140Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.140Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000089,0,TEAS,60000089,89,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.141Z,3333330002,2016-03-16T21:09:49.141Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.141Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000090,0,TEAS,60000090,90,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.142Z,3333330002,2016-03-16T21:09:49.142Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.142Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000091,0,TEAS,60000091,91,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.142Z,3333330002,2016-03-16T21:09:49.142Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.142Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000092,0,TEAS,60000092,92,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.143Z,3333330002,2016-03-16T21:09:49.143Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.143Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000093,0,TEAS,60000093,93,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.143Z,3333330002,2016-03-16T21:09:49.143Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.143Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000095,0,TEAS,60000095,95,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.145Z,3333330002,2016-03-16T21:09:49.145Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.145Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000098,0,TEAS,60000098,98,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.146Z,3333330002,2016-03-16T21:09:49.146Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.146Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000100,0,TEAS,60000100,100,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.147Z,3333330002,2016-03-16T21:09:49.147Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.147Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000101,0,TEAS,60000101,101,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.148Z,3333330002,2016-03-16T21:09:49.148Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.148Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000102,0,TEAS,60000102,102,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.148Z,3333330002,2016-03-16T21:09:49.148Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.148Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
