FP_ID,CATEGORY,FK_FP_CATEGORY_ID,FK_FP_GROUP_ID,TITLE_TX,SER_NUM,FP_YEAR,FK_WRKR_ID,ACTION_COUNT,TRANSACTION_NO,TRANSACTIONAL_LITERAL,COMPLETED_DT,GROUP_NAME,COMPLETED_TS,TM_ANALYTICS_TS,CURRENT_TITLE
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2020,null,null,0,(ProcWiz),2020-07-04,REQUIREMENT,2020-07-04T19:12:12.000Z,2020-07-05T01:36:36.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2016,null,null,0,(ProcWiz),2015-12-18,REQUIREMENT,2015-12-18T11:22:21.000Z,2019-05-29T14:58:32.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2016,null,null,0,(ProcWiz),2016-03-17,REQUIREMENT,2016-03-17T14:34:48.000Z,2019-05-29T14:58:32.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2016,null,null,0,(ProcWiz),2016-08-05,REQUIREMENT,2016-08-05T12:25:58.000Z,2019-05-29T14:58:32.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2022,null,null,0,(ProcWiz),2022-05-17,REQUIREMENT,2022-05-17T23:06:46.000Z,2022-05-18T01:36:09.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2023,null,null,0,(ProcWiz),2023-01-09,REQUIREMENT,2023-01-09T13:10:36.000Z,2023-01-10T01:39:47.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,78160750,2025,20010,3,7012,Office Action - Response Required,2025-01-28,REQUIREMENT,2025-01-28T15:20:55.212Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,78160750,2025,20010,4,7012,Office Action - Response Required,2025-01-28,REQUIREMENT,2025-01-28T15:20:55.212Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,86706077,2025,20006,2,7012,Office Action - Response Required,2025-07-15,REQUIREMENT,2025-07-15T09:53:39.177Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,78160750,2025,20010,3,7012,Office Action - Response Required,2025-01-28,REQUIREMENT,2025-01-28T15:10:55.467Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,78160750,2025,20010,4,7012,Office Action - Response Required,2025-01-28,REQUIREMENT,2025-01-28T15:10:55.467Z,null,Omitted Goods/Services - Clarification Required
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2011,null,null,0,(ProcWiz),2011-06-21,REQUIREMENT,2011-06-21T17:16:58.000Z,2019-05-29T13:11:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2013,null,null,0,(ProcWiz),2012-12-15,REQUIREMENT,2012-12-15T17:07:03.000Z,2019-05-29T13:42:16.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2013,null,null,0,(ProcWiz),2013-06-14,REQUIREMENT,2013-06-14T22:15:59.000Z,2019-05-29T13:57:12.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2016,null,null,0,(ProcWiz),2016-03-14,REQUIREMENT,2016-03-14T07:31:09.000Z,2019-05-29T14:58:31.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-01-14,REQUIREMENT,2017-01-14T06:54:57.000Z,2019-05-29T15:14:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-01-19,REQUIREMENT,2017-01-19T06:43:54.000Z,2019-05-29T15:14:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-01-24,REQUIREMENT,2017-01-24T16:54:13.000Z,2019-05-29T15:14:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-01-25,REQUIREMENT,2017-01-25T08:05:22.000Z,2019-05-29T15:14:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-01-25,REQUIREMENT,2017-01-25T08:09:47.000Z,2019-05-29T15:14:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-02-01,REQUIREMENT,2017-02-01T15:56:48.000Z,2019-05-29T15:14:18.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2021,null,null,0,(ProcWiz),2021-01-27,REQUIREMENT,2021-01-27T14:12:19.000Z,2021-01-28T01:35:35.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2017,null,null,0,(ProcWiz),2017-06-28,REQUIREMENT,2017-06-28T17:21:49.000Z,2019-05-29T15:29:37.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2018,null,null,0,(ProcWiz),2018-08-26,REQUIREMENT,2018-08-26T08:18:05.000Z,2019-05-29T15:44:56.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2018,null,null,0,(ProcWiz),2018-09-06,REQUIREMENT,2018-09-06T09:43:13.000Z,2019-05-29T15:44:56.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,-1,2019,null,null,0,(ProcWiz),2018-12-10,REQUIREMENT,2018-12-10T09:45:49.000Z,2019-05-29T16:00:19.000Z,Mistake in Owner's Name
15O4,Ownership,269,9,Mistake in Owner's Name,86451856,2025,20007,2,7012,Office Action - Response Required,2024-11-01,REQUIREMENT,2024-11-01T11:12:34.251Z,null,Mistake in Owner's Name
16D50,General,52,1,Closing - Delegation Signature,83,2026,83188,1,null,Petition Denied,2026-02-18,INFORMATION,2026-02-18T10:55:06.432Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,25,2026,78475,2,null,Petition Denied,2026-02-13,INFORMATION,2025-12-19T11:14:06.892Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,9,2026,83188,1,null,Petition Dismissed,2026-02-02,INFORMATION,2026-01-26T14:29:32.820Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,475,2026,81878,1,null,Petition Denied,2025-10-21,INFORMATION,2025-10-21T14:00:55.450Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,119,2025,81878,2,null,Petition Denied,2025-01-13,INFORMATION,2025-01-13T17:13:30.570Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,21,2025,92460,4,null,Petition Denied,2025-03-06,INFORMATION,2025-02-26T16:39:23.855Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,386,2024,83188,4,null,Petition Denied,2024-05-28,INFORMATION,2024-05-15T10:48:33.308Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,380,2024,83188,1,null,Petition Denied,2024-06-28,INFORMATION,2024-06-26T18:37:16.848Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,2,2026,81878,2,null,Petition Denied,2026-01-12,INFORMATION,2026-01-12T13:39:29.085Z,null,Closing - Delegation Signature
16D50,General,52,1,Closing - Delegation Signature,65,2026,81878,1,null,Petition Denied,2026-05-12,INFORMATION,2026-05-12T13:50:13.795Z,null,Closing - Delegation Signature
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,35,2026,88577,1,null,Notice of Institution/Non-Final Action,2026-08-11,REQUIREMENT,2026-08-11T13:36:00.451Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,87,2026,88567,1,null,Notice of Institution/Non-Final Action,2026-08-08,REQUIREMENT,2026-08-08T20:45:44.580Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,186,2026,88577,5,null,Notice of Institution/Non-Final Action,2026-06-10,REQUIREMENT,2026-06-10T11:27:03.973Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,296,2026,81878,1,null,Notice of Institution/Non-Final Action,2026-04-07,REQUIREMENT,2026-04-06T16:19:34.574Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,417,2026,83188,1,null,Notice of Institution/Non-Final Action,2026-02-23,REQUIREMENT,2026-02-20T16:46:32.288Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,187,2026,93933,1,null,Notice of Institution/Non-Final Action,2026-01-13,REQUIREMENT,2025-12-19T18:17:28.942Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,171,2026,83188,1,null,Notice of Institution/Non-Final Action,2025-12-17,REQUIREMENT,2025-12-16T15:24:11.360Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,4,2026,81878,3,null,Notice of Institution/Non-Final Action,2025-11-04,REQUIREMENT,2025-11-04T09:58:08.238Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,17,2026,81878,2,null,Notice of Institution/Non-Final Action,2025-11-03,REQUIREMENT,2025-11-03T08:49:26.756Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,389,2026,88577,1,null,Notice of Institution/Non-Final Action,2025-10-02,REQUIREMENT,2025-10-01T17:02:46.312Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,401,2026,88577,2,null,Notice of Institution/Non-Final Action,2025-10-02,REQUIREMENT,2025-10-01T16:37:41.572Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,403,2026,88577,1,null,Notice of Institution/Non-Final Action,2025-10-02,REQUIREMENT,2025-10-01T17:09:04.404Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,387,2026,88577,2,null,Notice of Institution/Non-Final Action,2025-10-01,REQUIREMENT,2025-10-01T16:40:32.458Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,402,2026,88577,1,null,Notice of Institution/Non-Final Action,2025-10-01,REQUIREMENT,2025-10-01T16:56:03.776Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,388,2026,88577,1,null,Notice of Institution/Non-Final Action,2025-10-01,REQUIREMENT,2025-10-01T16:51:09.517Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,510,2026,81878,1,null,Notice of Institution/Non-Final Action,2025-10-01,REQUIREMENT,2025-08-14T16:18:26.533Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,376,2026,88577,2,null,Notice of Institution/Non-Final Action,2025-10-01,REQUIREMENT,2025-10-01T09:14:04.858Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,377,2026,88577,2,null,Notice of Institution/Non-Final Action,2025-10-01,REQUIREMENT,2025-10-01T09:50:43.429Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,353,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-30,REQUIREMENT,2025-09-30T12:22:28.587Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,354,2025,88577,2,null,Notice of Institution/Non-Final Action,2025-09-30,REQUIREMENT,2025-09-30T12:57:33.762Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,360,2025,88577,2,null,Notice of Institution/Non-Final Action,2025-09-30,REQUIREMENT,2025-09-30T12:45:32.125Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,341,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-30,REQUIREMENT,2025-09-30T11:36:45.448Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,340,2025,88577,2,null,Notice of Institution/Non-Final Action,2025-09-29,REQUIREMENT,2025-09-29T12:55:30.019Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,339,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-29,REQUIREMENT,2025-09-29T12:38:12.529Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,516,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-26,REQUIREMENT,2025-09-24T16:19:02.569Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,292,2025,88577,2,null,Notice of Institution/Non-Final Action,2025-09-26,REQUIREMENT,2025-09-25T17:09:19.152Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,292,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-26,REQUIREMENT,2025-09-24T16:07:39.350Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,291,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-26,REQUIREMENT,2025-09-25T15:54:26.427Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,303,2025,88577,2,null,Notice of Institution/Non-Final Action,2025-09-26,REQUIREMENT,2025-09-25T17:19:19.942Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,73,2025,71999,1,null,Notice of Institution/Non-Final Action,2025-09-22,REQUIREMENT,2025-08-21T09:08:56.104Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,134,2025,92998,2,null,Notice of Institution/Non-Final Action,2025-09-16,REQUIREMENT,2025-09-16T14:30:59.796Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,499,2025,90327,2,null,Notice of Institution/Non-Final Action,2025-09-09,REQUIREMENT,2025-09-09T17:35:37.186Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,509,2025,81878,1,null,Notice of Institution/Non-Final Action,2025-08-15,REQUIREMENT,2025-08-14T16:27:47.967Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,345,2025,81878,1,null,Notice of Institution/Non-Final Action,2025-08-11,REQUIREMENT,2025-08-11T15:48:10.089Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,511,2025,88567,1,null,Notice of Institution/Non-Final Action,2025-08-14,REQUIREMENT,2025-08-14T09:07:21.197Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,676,2025,88567,1,null,Notice of Institution/Non-Final Action,2025-08-27,REQUIREMENT,2025-08-21T14:02:09.018Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,250,2025,92998,2,null,Notice of Institution/Non-Final Action,2024-10-10,REQUIREMENT,2024-10-08T11:34:10.408Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,321,2025,81878,1,null,Notice of Institution/Non-Final Action,2025-08-04,REQUIREMENT,2025-08-04T13:59:59.255Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,511,2025,81878,1,null,Notice of Institution/Non-Final Action,2025-08-15,REQUIREMENT,2025-08-15T11:12:56.220Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,9,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-08-18,REQUIREMENT,2025-08-18T12:36:00.096Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,519,2025,71999,1,null,Notice of Institution/Non-Final Action,2025-08-18,REQUIREMENT,2025-08-18T06:37:17.487Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,517,2025,71999,1,null,Notice of Institution/Non-Final Action,2025-08-18,REQUIREMENT,2025-08-18T06:21:49.107Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,473,2025,88567,2,null,Notice of Institution/Non-Final Action,2025-08-14,REQUIREMENT,2025-08-14T08:58:07.667Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,515,2025,88567,1,null,Notice of Institution/Non-Final Action,2025-08-14,REQUIREMENT,2025-08-14T10:15:45.246Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,115,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-08-25,REQUIREMENT,2025-08-25T14:39:43.783Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,19,2025,92460,4,null,Notice of Institution/Non-Final Action,2025-02-25,REQUIREMENT,2025-02-25T15:56:45.403Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,78,2024,92560,1,null,Notice of Institution/Non-Final Action,2024-05-02,REQUIREMENT,2024-04-08T11:37:26.691Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,292,2024,88577,1,null,Notice of Institution/Non-Final Action,2024-04-04,REQUIREMENT,2024-04-03T17:02:13.126Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,388,2025,88577,1,null,Notice of Institution/Non-Final Action,2025-09-12,REQUIREMENT,2025-08-07T15:52:15.590Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,343,2025,81878,1,null,Notice of Institution/Non-Final Action,2025-08-10,REQUIREMENT,2025-08-10T13:45:18.452Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,297,2025,88567,1,null,Notice of Institution/Non-Final Action,2025-08-07,REQUIREMENT,2025-08-07T12:44:27.315Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
16F20,General,52,3,U.S./Foreign Registrant with Foreign Street Address -Attorney Required,466,2025,71999,1,null,Notice of Institution/Non-Final Action,2025-08-12,REQUIREMENT,2025-08-12T12:36:09.296Z,null,U.S./Foreign Registrant with Foreign Street Address -Attorney Required
