serial_number,filing_date,effective_filing_date,filing_basis,first_oa_date,registration_date,abandonment_date,disposal_date,ib_notification_date,sou_filing_date,sou_processed_date,extension_request_date,extension_processed_date,divisional_request_date,divisional_processed_date,lop_filing_date,lop_processed_date,affidavit_filing_date,affidavit_processed_date,amendment_filing_date,amendment_processed_date,renewal_filing_date,renewal_processed_date,esu_response_date,esu_processed_date,_valid_from,_valid_to,_is_current,_updated_ts
50006040,2026-07-21,2026-07-21,TEAS,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50006099,2026-07-22,2026-07-22,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50006139,2026-07-22,2026-07-22,TEAS,2026-09-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50006368,2026-07-22,2026-07-22,TEAS,2026-09-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50006510,2026-07-22,2026-07-22,TEAS,2026-08-22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50006850,2026-07-22,2026-07-22,TEAS,2026-08-22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50007053,2026-07-22,2026-07-22,TEAS,2026-08-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50007059,2026-07-22,2026-07-22,TEAS,2026-08-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50007538,2026-07-22,2026-07-22,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50008468,2026-07-22,2026-07-22,TEAS,2026-08-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50009284,2026-07-23,2026-07-23,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50009666,2026-07-23,2026-07-23,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50010949,2026-07-24,2026-07-24,TEAS,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50011475,2026-07-24,2026-07-24,TEAS,2026-08-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50011738,2026-07-24,2026-07-24,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50012079,2026-07-24,2026-07-24,TEAS,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50012632,2026-07-24,2026-07-24,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50012957,2026-07-24,2026-07-24,TEAS,2026-08-28,null,2026-07-27,2026-07-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50013138,2026-07-25,2026-07-25,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50014937,2026-07-27,2026-07-27,TEAS,2026-08-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50015097,2026-07-27,2026-07-27,TEAS,2026-08-26,null,2026-08-26,2026-08-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50016353,2026-07-27,2026-07-27,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50017530,2026-07-28,2026-07-28,TEAS,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50019395,2026-07-29,2026-07-29,TEAS,2026-09-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50021157,2026-07-29,2026-07-29,TEAS,2026-09-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50021241,2026-07-29,2026-07-29,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50021732,2026-07-30,2026-07-30,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50022026,2026-07-30,2026-07-30,TEAS,2026-08-28,null,2026-08-11,2026-08-11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50023302,2026-07-30,2026-07-30,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50025833,2026-07-31,2026-07-31,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50029111,2026-08-03,2026-08-03,TEAS,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50029410,2026-08-03,2026-08-03,TEAS,2026-08-22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50030569,2026-08-04,2026-08-04,TEAS,2026-08-28,null,2026-08-27,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50031025,2026-08-04,2026-08-04,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50031863,2026-08-04,2026-08-04,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50034074,2026-08-05,2026-08-05,TEAS,2026-08-26,null,2026-08-26,2026-08-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50037047,2026-08-06,2026-08-06,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50037878,2026-08-07,2026-08-07,TEAS,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50038242,2026-08-07,2026-08-07,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50038277,2026-08-07,2026-08-07,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50039151,2026-08-07,2026-08-07,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50041153,2026-08-10,2026-08-10,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50046927,2026-08-12,2026-08-12,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50050200,2026-08-13,2026-08-13,TEAS,2026-08-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50050536,2026-08-14,2026-08-14,TEAS,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50051996,2026-08-14,2026-08-14,TEAS,2026-08-30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50053008,2026-08-15,2026-08-15,TEAS,2026-08-28,null,2026-08-26,2026-08-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
72229530,1965-10-07,1965-10-07,TEAS,null,1966-08-30,null,1966-08-30,null,null,null,null,null,null,null,null,null,null,null,2026-08-20,null,1986-08-14,1986-08-30,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
74732850,1995-09-22,1995-09-22,TEAS,1996-03-12,1996-08-20,null,1996-08-20,null,null,null,null,null,null,null,null,null,2001-11-21,2002-01-23,2026-08-20,null,2006-08-14,2006-08-20,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
76718897,2016-01-20,2016-01-20,TEAS,2016-05-11,2016-08-30,null,2016-08-30,null,null,null,null,null,null,null,null,null,2022-06-30,2023-01-17,null,null,2026-08-31,null,2016-05-11,2016-05-11,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
77315364,2007-10-28,2007-10-28,TEAS,2008-02-08,2016-03-01,null,2016-03-01,null,null,null,null,null,null,null,null,null,2021-04-09,2021-08-09,null,null,2026-08-31,null,2012-03-19,2015-11-12,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
77473272,2008-05-13,2008-05-13,TEAS,2008-08-28,2008-12-30,null,2008-12-30,null,null,null,null,null,null,null,null,null,2015-06-30,2015-07-25,2026-08-27,null,2018-01-16,2018-02-05,2015-07-25,2015-07-25,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
77927453,2010-02-03,2010-02-03,TEAS,2010-04-23,null,null,2026-06-23,null,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,2012-08-08,2016-03-03,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
78382821,2004-03-11,2004-03-11,TEAS,2007-11-20,2008-02-12,null,2008-02-12,null,null,2007-10-19,2022-08-20,2008-03-20,null,null,null,null,2014-02-07,2014-02-24,2026-08-21,null,2018-01-19,2018-02-08,2014-02-24,2014-02-24,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79142241,2013-11-25,2013-11-25,MADRID,2014-03-18,2014-10-14,null,2014-10-14,2014-02-06,null,null,null,null,null,null,null,null,2020-09-18,2020-12-21,2026-08-21,null,2024-09-26,2025-06-25,2014-03-18,2014-06-23,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79151817,2014-07-10,2014-07-10,MADRID,2014-10-31,2016-03-01,null,2016-03-01,2014-09-11,null,null,null,null,null,null,null,null,2022-08-31,2023-03-11,null,null,2026-08-27,null,2014-10-31,2015-11-06,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79161093,2014-12-10,2014-12-10,MADRID,2015-03-26,2016-08-23,null,2016-08-23,2015-02-26,null,null,null,null,null,null,null,null,2022-07-28,2023-02-07,null,null,2026-08-22,null,2015-03-26,2016-05-03,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79165836,2015-04-16,2015-04-16,MADRID,2015-07-29,2016-02-23,null,2016-02-23,2015-05-28,null,null,null,null,null,null,null,null,2022-08-22,2023-02-23,null,null,2026-08-24,null,2015-07-29,2015-11-02,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79166430,2015-02-13,2015-02-13,MADRID,2015-06-13,2016-08-09,null,2016-08-09,2015-06-04,null,null,null,null,null,null,null,null,2022-07-21,2023-08-08,null,null,2026-08-27,null,2015-06-13,2016-04-14,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79167306,2015-02-04,2015-02-04,MADRID,2015-07-04,2016-11-29,null,2016-11-29,2015-06-18,null,null,null,null,null,null,null,null,2022-11-30,2023-06-17,null,null,2026-08-20,null,2015-07-04,2016-08-04,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79172364,2015-06-12,2015-06-12,MADRID,2015-10-06,2016-08-30,null,2016-08-30,2015-09-17,null,null,null,null,null,null,null,null,2023-02-20,2023-09-08,null,null,2026-08-24,null,2015-10-06,2016-05-07,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79173081,2014-07-22,2014-07-22,MADRID,2015-10-09,2016-08-23,null,2016-08-23,2015-10-01,null,null,null,null,null,null,null,null,2023-02-13,2023-08-10,null,null,2026-08-20,null,2015-10-09,2016-05-04,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79173332,2014-11-03,2014-11-03,MADRID,2015-10-12,2016-08-30,null,2016-08-30,2015-10-01,null,null,null,null,null,null,null,null,2022-08-22,2024-01-10,null,null,2026-08-31,null,2015-10-12,2016-05-11,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79176651,2015-10-13,2015-10-13,MADRID,2015-12-31,2016-11-08,null,2016-11-08,2015-11-19,null,null,null,null,null,null,null,null,2022-11-17,2023-05-29,null,null,2026-08-25,null,2015-12-31,2016-07-15,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79176914,2015-09-11,2015-09-11,MADRID,2016-01-06,2016-10-04,null,2016-10-04,2015-11-26,null,null,null,null,null,null,null,null,2022-08-10,2023-02-16,2026-08-20,null,2026-07-09,null,2016-01-06,2016-06-10,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79178735,2015-10-15,2015-10-15,MADRID,2016-02-14,2017-08-15,null,2017-08-15,2015-12-17,null,null,null,null,null,null,null,null,2023-06-28,2024-01-22,null,null,2026-08-24,null,2016-02-14,2017-02-23,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79178867,2015-10-09,2015-10-09,MADRID,2016-02-04,2016-08-30,null,2016-08-30,2015-12-17,null,null,null,null,null,null,null,null,2022-08-23,2023-08-24,null,null,2026-08-27,null,2016-02-04,2016-05-05,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79180945,2015-12-22,2015-12-22,MADRID,2016-04-11,2016-09-27,null,2016-09-27,2016-01-21,null,null,null,null,null,null,null,null,2022-07-29,2023-02-08,null,null,2026-08-21,null,2016-04-11,2016-06-03,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79182426,2015-11-13,2015-11-13,MADRID,2016-03-15,2016-09-06,null,2016-09-06,2016-02-11,null,null,null,null,null,null,null,null,2022-09-02,2023-03-11,null,null,2026-08-28,null,2016-03-15,2016-05-16,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79184778,2016-02-01,2016-02-01,MADRID,2016-05-20,null,2026-02-01,2026-02-01,2016-03-17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-05-20,2016-05-20,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79185173,2016-01-27,2016-01-27,MADRID,2016-05-18,null,2026-01-27,2026-01-27,2016-03-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-05-18,2016-05-18,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79185297,2016-01-25,2016-01-25,MADRID,2016-05-11,null,2026-01-25,2026-01-25,2016-03-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-05-11,2016-05-11,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79185323,2016-01-26,2016-01-26,MADRID,2016-07-22,null,2026-01-26,2026-01-26,2016-03-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-07-22,2016-07-22,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79185902,2016-02-05,2016-02-05,MADRID,2016-04-21,null,2026-02-06,2026-02-06,2016-04-14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-04-21,2016-04-21,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79186412,2016-01-27,2016-01-27,MADRID,2016-05-17,null,2026-01-27,2026-01-27,2016-04-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-05-17,2016-05-17,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79186424,2016-01-25,2016-01-25,MADRID,2016-05-17,null,2026-01-25,2026-01-25,2016-04-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-05-17,2016-05-17,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79186626,2016-02-18,2016-02-18,MADRID,2016-06-09,2017-02-28,null,2017-02-28,2016-05-12,null,null,null,null,null,null,null,null,2022-04-27,2022-10-17,null,null,2026-08-28,null,2016-06-09,2016-11-01,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79187287,2016-02-05,2016-02-05,MADRID,2016-06-17,null,2026-02-05,2026-02-05,2016-06-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-06-17,2016-06-17,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79187319,2016-01-29,2016-01-29,MADRID,2016-06-16,null,2026-01-29,2026-01-29,2016-06-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-06-16,2016-06-16,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79187320,2016-01-28,2016-01-28,MADRID,2016-06-14,null,2026-01-28,2026-01-28,2016-06-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-06-14,2016-06-14,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79188173,2016-01-24,2016-01-24,MADRID,2016-07-05,null,2026-01-24,2026-01-24,2016-06-30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-07-05,2016-07-05,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79188499,2016-02-05,2016-02-05,MADRID,2016-07-08,null,2026-02-05,2026-02-05,2016-07-07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-07-08,2016-07-08,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79189496,2016-05-04,2016-05-04,MADRID,2016-08-20,2017-08-08,null,2017-08-08,2016-07-28,null,null,null,null,null,null,null,null,2023-06-16,2024-02-29,null,null,2026-08-20,null,2016-08-20,2016-08-20,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79191541,2016-01-29,2016-01-29,MADRID,2016-09-26,null,2026-01-29,2026-01-29,2016-09-15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-09-26,2016-09-26,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79193616,2016-02-11,2016-02-11,MADRID,2016-10-25,null,2026-02-12,2026-02-12,2016-10-13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2016-10-25,2016-10-25,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79194059,2016-05-25,2016-05-25,MADRID,2016-10-27,2017-08-15,null,2017-08-15,2016-10-20,null,null,null,null,null,null,null,null,2022-12-01,2023-06-17,2017-10-31,2018-04-18,2026-08-27,null,2016-10-27,2016-10-27,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
79242527,2018-09-06,2018-09-06,MADRID,2018-12-17,2020-03-03,null,2020-03-03,2018-10-04,null,null,null,null,null,null,null,null,2026-08-27,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
