FK_TRADEMARK_GID,AMENDMENT_TO_USE_FILED_IN,APPLICATION_MARK_IN_1,APPLICATION_MARK_IN_2,FINAL_ACTION_REFUSAL_ATU_IN,FIRST_ACTION_REFUSAL_ATU_IN,AVAILABLE_FOR_SOU_IN,EXTENSIONS_NOT_ALLOWED_IN,HOLD_FIRST_ACTION_RFSL_ATU_IN,LAST_UA_TRAN_INFRML_RSP_RCV_IN,LAST_UA_TRAN_INFRML_LTR_ML_IN,ITU_CASE_PUBD_FOR_OPSTN_IN,ITU_FREEZE_PERIOD_IN,LATEST_ITU_FILNG_RECEIVED_DT,SOU_EXT_DENIAL_LTR_MAILED_IN,LAST_EXT_TRAN_DNIL_LTR_PREP_IN,LAST_POSSIBLE_EXTENSION_DT,LAST_EXT_TRAN_SOU_EXT_FILED_IN,USE_AFFIDAVIT_PRCSG_COMPLT_IN,NOA_ISSUED_IN,SOU_EXTENSION_REQ_FILED_IN,NOA_MAILED_IN,POTENTIEL_ABANDONMENT_DT,SOU_RECEIVED_DT,LOCK_CONTROL_NO,CREATE_TS,CREATE_USER_ID,LAST_MOD_TS,LAST_MOD_USER_ID,ACTION_CT,CFK_TRANSACTION_INSTANCE_GID,BEGIN_EFFECTIVE_TS,END_EFFECTIVE_TS
Trademark:0:85019614,Y,N,N,N,N,N,Y,N,N,N,Y,N,null,N,N,null,N,Y,N,Y,Y,2012-04-19,2011-10-17,1,2022-08-21T13:47:00.294Z,333333,2022-08-21T13:47:00.294Z,333333,U,Transaction:3964:758,2022-08-21T13:47:00.503Z,2023-11-29T23:05:20.002Z
Trademark:0:85401896,Y,N,N,N,N,N,Y,N,N,N,Y,N,null,N,N,null,N,Y,N,Y,Y,2014-03-20,2013-09-19,1,2022-08-21T14:24:04.910Z,333333,2022-08-21T14:24:04.910Z,333333,U,Transaction:3964:824,2022-08-21T14:24:05.049Z,2023-11-29T23:05:20.002Z
Trademark:0:85385149,Y,N,N,N,Y,N,Y,N,N,N,Y,N,null,N,N,null,N,Y,N,Y,Y,2012-12-20,2012-06-11,1,2022-08-21T14:25:15.000Z,333333,2022-08-21T14:25:15.000Z,333333,U,Transaction:3964:826,2022-08-21T14:25:15.174Z,2023-11-29T23:05:20.002Z
Trademark:0:85508526,Y,N,N,N,N,N,Y,N,N,N,Y,N,null,N,N,null,N,Y,N,Y,Y,2013-07-17,2013-01-02,1,2022-08-21T14:42:08.145Z,333333,2022-08-21T14:42:08.145Z,333333,U,Transaction:3964:851,2022-08-21T14:42:08.360Z,2023-11-29T23:05:20.002Z
Trademark:0:85382133,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2016-03-03,N,Y,N,Y,Y,2016-03-03,2016-02-11,1,2022-08-21T14:43:28.493Z,333333,2022-08-21T14:43:28.493Z,333333,U,Transaction:3964:853,2022-08-21T14:43:28.728Z,2022-12-04T11:41:25.502Z
Trademark:0:85123629,N,N,N,N,N,N,N,N,N,N,N,Y,null,N,N,null,N,N,N,N,N,null,null,1,2022-08-21T14:47:08.280Z,333333,2022-08-21T14:47:08.280Z,333333,U,Transaction:3964:859,2022-08-21T14:47:08.372Z,null
Trademark:0:85407175,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2014-03-04,N,Y,N,Y,Y,2014-03-04,2014-02-27,1,2022-08-21T15:34:23.884Z,333333,2022-08-21T15:34:23.884Z,333333,U,Transaction:3964:966,2022-08-21T15:34:24.026Z,2022-08-21T15:35:41.639Z
Trademark:0:85407175,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2014-03-04,N,Y,N,Y,Y,2014-03-04,2014-02-27,1,2022-08-21T15:35:41.573Z,333333,2022-08-21T15:35:41.573Z,333333,U,Transaction:3964:972,2022-08-21T15:35:41.640Z,2023-11-29T23:05:20.002Z
Trademark:0:85523112,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2013-02-14,N,Y,N,N,Y,2013-02-14,2012-09-06,1,2022-08-21T15:37:02.598Z,333333,2022-08-21T15:37:02.598Z,333333,U,Transaction:3964:974,2022-08-21T15:37:02.721Z,2023-11-29T23:05:20.002Z
Trademark:0:85219428,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-01-12,N,Y,N,N,Y,2012-01-12,2011-10-28,1,2022-08-21T15:50:36.939Z,333333,2022-08-21T15:50:36.939Z,333333,U,Transaction:3964:996,2022-08-21T15:50:37.105Z,2023-11-29T23:05:20.002Z
Trademark:0:85380653,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-08-21,N,Y,N,N,Y,2012-08-21,2012-03-21,1,2022-08-21T16:23:00.810Z,333333,2022-08-21T16:23:00.810Z,333333,U,Transaction:3964:1051,2022-08-21T16:23:00.916Z,2023-11-29T23:05:20.002Z
Trademark:0:85378975,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2013-02-28,N,Y,N,N,Y,2013-02-28,2013-02-28,1,2022-08-21T16:27:57.496Z,333333,2022-08-21T16:27:57.496Z,333333,U,Transaction:3964:1057,2022-08-21T16:27:57.686Z,2023-11-29T23:05:20.002Z
Trademark:0:87388822,Y,N,N,N,Y,N,N,N,N,N,Y,N,null,N,N,2020-10-19,N,Y,N,Y,Y,2020-10-19,2020-10-19,1,2022-08-21T18:48:16.664Z,333333,2022-08-21T18:48:16.664Z,333333,U,Transaction:3964:1386,2022-08-21T18:48:16.891Z,2023-11-29T23:05:20.002Z
Trademark:0:87786394,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-09-20,null,1,2022-08-21T18:53:58.036Z,333333,2022-08-21T18:53:58.036Z,333333,U,Transaction:3964:1402,2022-08-21T18:53:58.146Z,2023-11-29T23:05:20.002Z
Trademark:0:88111760,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-25,null,1,2022-08-21T19:16:30.618Z,333333,2022-08-21T19:16:30.618Z,333333,U,Transaction:3964:1464,2022-08-21T19:16:30.837Z,2023-11-29T23:05:20.002Z
Trademark:0:87866839,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-25,null,1,2022-08-21T19:19:21.163Z,333333,2022-08-21T19:19:21.163Z,333333,U,Transaction:3964:1468,2022-08-21T19:19:21.369Z,2023-11-29T23:05:20.002Z
Trademark:0:87866844,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-25,null,1,2022-08-21T19:20:39.531Z,333333,2022-08-21T19:20:39.531Z,333333,U,Transaction:3964:1472,2022-08-21T19:20:39.637Z,2023-11-29T23:05:20.002Z
Trademark:0:87855198,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-12,null,1,2022-08-21T19:22:11.535Z,333333,2022-08-21T19:22:11.535Z,333333,U,Transaction:3964:1477,2022-08-21T19:22:11.703Z,2023-11-29T23:05:20.002Z
Trademark:0:87843653,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-05-09,null,1,2022-08-21T19:22:14.240Z,333333,2022-08-21T19:22:14.240Z,333333,U,Transaction:3964:1479,2022-08-21T19:22:14.329Z,2023-11-29T23:05:20.002Z
Trademark:0:87843636,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-04-18,null,1,2022-08-21T19:23:42.768Z,333333,2022-08-21T19:23:42.768Z,333333,U,Transaction:3964:1484,2022-08-21T19:23:42.854Z,2023-11-29T23:05:20.002Z
Trademark:0:88528429,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-28,null,1,2022-08-21T20:01:45.768Z,333333,2022-08-21T20:01:45.768Z,333333,U,Transaction:3964:1617,2022-08-21T20:01:45.936Z,2023-11-29T23:05:20.002Z
Trademark:0:88880451,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-20,null,1,2022-08-21T20:09:47.563Z,333333,2022-08-21T20:09:47.563Z,333333,U,Transaction:3964:1633,2022-08-21T20:09:47.776Z,2023-11-29T23:05:20.002Z
Trademark:0:88886212,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-20,null,1,2022-08-21T20:15:29.749Z,333333,2022-08-21T20:15:29.749Z,333333,U,Transaction:3964:1653,2022-08-21T20:15:29.851Z,2023-11-29T23:05:20.002Z
Trademark:0:88834290,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,null,N,N,N,Y,Y,2023-03-07,null,1,2022-08-22T01:20:31.552Z,333333,2022-08-22T01:20:31.552Z,333333,U,Transaction:3964:7866,2022-08-22T01:20:31.740Z,2022-09-19T14:24:45.753Z
Trademark:0:90115045,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,null,N,N,N,Y,Y,2023-02-17,null,1,2022-08-22T01:22:39.502Z,333333,2022-08-22T01:22:39.502Z,333333,U,Transaction:3964:7867,2022-08-22T01:22:39.703Z,2022-09-12T17:16:48.485Z
Trademark:0:88577192,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-02,N,N,2022-08-11,N,N,N,Y,Y,2022-08-11,2022-08-02,1,2022-08-22T06:34:27.683Z,333333,2022-08-22T06:34:27.683Z,333333,U,Transaction:3964:12881,2022-08-22T06:34:27.751Z,2022-08-22T06:34:32.126Z
Trademark:0:88577192,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,2022-08-11,N,N,N,Y,Y,2022-08-11,2022-08-02,1,2022-08-22T06:34:32.045Z,333333,2022-08-22T06:34:32.045Z,333333,U,Transaction:3964:12882,2022-08-22T06:34:32.127Z,2022-08-22T06:34:35.951Z
Trademark:0:88577192,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2022-08-11,N,Y,N,Y,Y,2022-08-11,2022-08-02,1,2022-08-22T06:34:35.880Z,333333,2022-08-22T06:34:35.880Z,333333,U,Transaction:3964:12883,2022-08-22T06:34:35.952Z,2022-08-22T06:34:36.950Z
Trademark:0:88577192,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,2022-08-11,N,Y,N,Y,Y,2022-08-11,2022-08-02,1,2022-08-22T06:34:36.878Z,333333,2022-08-22T06:34:36.878Z,333333,U,Transaction:3964:12884,2022-08-22T06:34:36.951Z,2022-08-22T06:34:38.087Z
Trademark:0:88577192,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2022-08-11,N,Y,N,Y,Y,2022-08-11,2022-08-02,1,2022-08-22T06:34:38.006Z,333333,2022-08-22T06:34:38.006Z,333333,U,Transaction:3964:12885,2022-08-22T06:34:38.088Z,2022-09-16T09:21:35.910Z
Trademark:0:90234743,N,N,N,N,N,N,N,N,N,N,Y,N,2022-06-08,N,N,null,Y,N,N,Y,Y,2022-06-08,null,1,2022-08-22T06:35:57.851Z,333333,2022-08-22T06:35:57.851Z,333333,U,Transaction:3964:12890,2022-08-22T06:35:57.934Z,2022-08-22T06:35:59.190Z
