class_status,class,ser_num,cl_cls_us_ct,cl_cls_us,cl_dt_stat,cl_flg_anoth_form,vt_ser_num,vt_class,goods_and_services_desc,create_ts,create_user_id,update_ts,update_user_id
ACTIVE,009,50000377,5,"021,023,026,036,038,",2026-07-18,0,50000377,009,Smartglasses; 3D spectacles; Virtual reality glasses; Dustproof glasses; Swimming goggles; Protective goggles for sports; Goggles for sports; Cases for sports goggles; Sports goggles; Prescription goggles for sports; Straps for sports goggles; Smart glasses; Monocular frames; Protective goggles for children,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,007,50000400,8,"013,019,021,023,024,031,034,035,",2026-07-18,0,50000400,007,Vacuum cleaners; Electric bag sealers; Dust separators; Air compressors; Wet-dry vacuums; Vacuum cleaners for household purposes; Electrically-powered steam cleaning device comprising a hose and nozzle and a vapor-producing chamber that is attached to a water source; Compressor cleaning machines; Electric vacuum cleaners; Power operated blowers; Hand-held vacuum cleaners; Dust filters for vacuum cleaners; Electric vacuum cleaners and their components; Vacuum cleaner hoses; Cordless vacuum cleaners,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50000436,3,"100,101,107,",2026-07-18,0,50000436,041,"Entertainment services, namely, providing video podcasts in the field of Personal development, culture, relationships, social issues, current events, entrepreneurship, lifestyle.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50000453,3,"100,101,107,",2026-07-18,0,50000453,041,Professional coaching services in the field of AR-era workplace capabilities,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,028,50000503,4,"022,023,038,050,",2026-07-18,0,50000503,028,Stuffed toy animals,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,028,50000506,4,"022,023,038,050,",2026-07-18,0,50000506,028,Children's multiple activity toys; Baby multiple activity toys; Infant toys; Infant development toys; Play mats containing infant toys; Activity gyms for infants and toddlers; Baby gyms,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50000521,3,"100,101,107,",2026-07-18,0,50000521,041,"Open-access publishing services, namely, publication of electronic academic articles.; Electronic publishing services, namely, publication of text and graphic works of others on the internet featuring academic articles.; Publishing and issuing of scientific papers in the field of science, medicine, and technology; Publishing and issuing scientific papers in relation to medical technology; Publishing and issuing of scientific papers in the field of science, technology, and medicine.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,021,50000634,8,"002,013,023,029,030,033,040,050,",2026-07-19,0,50000634,021,"Non-electric portable coolers; Portable coolers, non-electric",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,007,50000722,8,"013,019,021,023,024,031,034,035,",2026-07-19,0,50000722,007,Oil filters for motors and engines,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50000755,2,"022,039,",2026-07-19,0,50000755,025,"Leisure suits; Underwear; Footwear; Boots; Sports shoes; Headwear; Hosiery; Gloves as clothing; Scarves; Clothing belts; Outer jackets; Pyjamas; Clothing layettes; Bibs, not of paper; Swimsuits; Rain wear; Slippers; Rain boots; Insoles for shoes; Sandals",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,009,50000768,5,"021,023,026,036,038,",2026-07-19,0,50000768,009,Downloadable digital photos; Downloadable photos,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,030,50000781,1,"046,",2026-07-19,0,50000781,030,"Macarons; Bakery goods and dessert items, namely, cakes, cookies, pastries, candies, and frozen confections for retail and wholesale distribution and consumption on or off the premises; Bakery desserts; Bakery goods; Bakery goods and dessert items, namely, cheesecakes for retail and wholesale distribution and consumption on or off the premises; Bakery goods, namely, Macarons; Bakery products, namely, sweet bakery goods",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50000788,2,"022,039,",2026-07-19,0,50000788,025,"Hats for infants, babies, toddlers and children; Shoulder wraps for clothing; Sports caps and hats; Sweatsuits; Infant wearable blankets; Hooded sweatshirts; Trouser socks; Baby sleepsuits; Pocket kerchiefs of textile; Sport beanies; Long sleeve T-shirts; Sweatsocks; Clothing wraps; Night gowns; T-shirts; Baseball caps; Infant sleepers being clothing; Hats; Sweatshirts; Knitted caps",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50000860,3,"100,101,107,",2026-07-19,0,50000860,041,Entertainment services in the nature of production of film and video production; production of multimedia content,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50000861,2,"022,039,",2026-07-19,0,50000861,025,"Clothing, namely, t-shirts, polo shirts, dress shirts, sweatshirts",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,012,50000953,6,"019,021,023,031,035,044,",2026-07-19,0,50000953,012,"Vehicle wheels; Rims for vehicle wheels; Hubs for vehicle wheels; Land vehicle parts, namely, wheels; Hub cap covers; Valve stems for vehicle tires; Lug nuts for vehicle wheels",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50001044,2,"100,101,",2026-07-19,0,50001044,042,Software as a service (SAAS) services featuring software for project management,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,016,50001058,8,"002,005,022,023,029,037,038,050,",2026-07-19,0,50001058,016,Gift wrap paper embedded with wildflower seeds; Gift bags; Gift-wrapping paper; Paper gift bags for wine; Fabric gift bags; Metallic gift wrapping paper; Party favor gift boxes sold empty; Paper gift tags; Gift boxes; Plastic gift wrap,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,011,50001077,6,"013,021,023,024,031,034,",2026-07-19,0,50001077,011,"Air purifiers; Tap water faucets; Laundry driers, electric; Plate warmers; Electric egg boilers for household purposes; Desk lamps; LED (light emitting diode) lighting fixtures; Fairy lights for festive decoration; Lights for use in growing plants; Floor lamps; Coffee machines, electric; Electric hair dryers; Lights, electric, for Christmas trees; Reading lights; Flashlights",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,003,50001250,6,"001,004,006,050,051,052,",2026-07-20,0,50001250,003,"Mouthwashes, not for medical purposes; Fair complexion cream; Facial cream; Car polish; Decorative transfers for use as cosmetics; Make-up sets; Beauty balm creams; Anti-wrinkle creams; Eye lotions; Chalk for make-up",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,005,50001252,7,"005,006,018,044,046,051,052,",2026-07-20,0,50001252,005,"Probiotic supplements; Dietary supplemental drinks in the nature of vitamin and mineral beverages; Dietary supplements for pets in the nature of a powdered drink mix; Dietary food supplements; Nutritional supplements, namely, carbohydrates in powdered form; Food supplements, namely, anti-oxidants; Gummy vitamins; Dietary and nutritional supplements used for weight loss; Herbal supplements; Vitamin and mineral supplements; Oral vaccine preparations; Diet capsules",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,009,50001255,5,"021,023,026,036,038,",2026-07-20,0,50001255,009,Laser projection virtual keyboards; Mini beam projectors; Projection screens; Video projectors; Planetarium projectors; Multimedia projectors; LCD projectors; Digital projectors; Projector lamps; Remote controls for projectors,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,006,50001259,7,"002,012,013,014,023,025,050,",2026-07-20,0,50001259,006,Door stops of metal; Hat-hanging hooks of metal; Hinges of metal; Magnetic metal hooks; Metal bolts; Metal fence rail clamps; Metal hooks; Metal poles; Metal screws; Metal shelf brackets,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,014,50001454,4,"002,027,028,050,",2026-07-20,0,50001454,014,Identification bracelets being jewelry; Jewelry incorporating a computer storage device containing medical information for medical alert purposes,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,020,50001475,6,"002,013,022,025,032,050,",2026-07-20,0,50001475,020,Birdhouses,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,031,50001490,2,"001,046,",2026-07-20,0,50001490,031,Edible dog treats,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,035,50001499,3,"100,101,102,",2026-07-20,0,50001499,035,"Medicaid billing services, namely, collecting student health information and submitting Medicaid reimbursement claims to government agencies on behalf of K-12 schools, charter schools, and academies; Business management services in the fields of finance, accounting, payroll, and human resources for educational institutions",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,035,50001518,3,"100,101,102,",2026-07-20,0,50001518,035,"Advertising and promotional services for others in the field of event planning; Promoting the goods and services of others in the event planning industry by means of providing an online searchable database featuring event professionals, venues, and vendors; Provision of an online marketplace for buyers and sellers of event planning services, namely, connecting consumers planning events with event professionals, venues, and vendors; Providing a website featuring the ratings, reviews, and recommendations on event planning services for commercial purposes posted by users; Providing a searchable online commercial information directory of event professionals, event venues, and event vendors on the internet; Business marketing services for event professionals, namely, search engine optimization of their online profiles for purposes of advertising; Dissemination of advertising for others via email newsletters in the field of event planning; Online advertising services for others in the field of event planning; Organizing business networking events in the field of event planning",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50001549,2,"100,101,",2026-07-20,0,50001549,042,"Computer programming services, namely, SaaS/cloud software and software customization; Consulting services for others in the field of design, planning, and implementation project management of Quality compliance.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50001561,2,"022,039,",2026-07-20,0,50001561,025,"Clothing, namely, T-shirts, shirts, tank tops, sweatshirts, hooded sweatshirts, jackets, pants, shorts, loungewear, underwear, socks, hats,Athletic shirts, athletic shorts, athletic pants,Leggings, dresses, skirts, sports bras, robes",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50001572,3,"100,101,107,",2026-07-20,0,50001572,041,"Providing online computer games; Entertainment services, namely, providing temporary use of non-downloadable computer games; Entertainment services, namely, providing on-line computer games; Entertainment services, namely, providing online video games; Entertainment services, namely, providing online multiplayer video games; Providing online augmented reality games; Online gaming services in the nature of computer game tournaments",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,007,50001579,8,"013,019,021,023,024,031,034,035,",2026-07-20,0,50001579,007,"Electronically and power-operated tools, namely, pullers and components therefor, nut splitters, extractors, separators, spanners and coil spring compressors; Machines for cleaning surfaces using high pressure water; Vacuum cleaners for household purposes; Loading and unloading machines; Vacuum cleaners for industrial purposes; Hot adhesive guns; Gas welding machines; Power-operated tools, namely, drill hammers; Portable electric power generators; Electric vacuum cleaners",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,035,50001642,3,"100,101,102,",2026-07-20,0,50001642,035,Marketing business strategy services including leadership and organizational consulting,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,030,50001725,1,"046,",2026-07-20,0,50001725,030,Extruded corn snacks; Corn-based snack foods,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,036,50001737,3,"100,101,102,",2026-07-20,0,50001737,036,"Insurance underwriting services in the fields of auto, home, health, life, and fire; providing banking services; mutual fund investments; financial analysis and consultation.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,009,50001908,5,"021,023,026,036,038,",2026-07-20,0,50001908,009,"Downloadable computer software and firmware for organizing and searching files, file contents, and file metadata",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,044,50001977,2,"100,101,",2026-07-20,0,50001977,044,Medical services,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50002109,2,"022,039,",2026-07-20,0,50002109,025,Tops as clothing; Bottoms as clothing; Headwear; Footwear; Gloves as clothing; Belts for clothing,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50002119,2,"100,101,",2026-07-20,0,50002119,042,"Research and development of antibodies; Research and development services in the field of antibodies; Research and development in the field of biotechnology; Research and development in the pharmaceutical and biotechnology fields; Research and development services in the field of biotechnology; Biological research laboratory services; Biological research; Biological research and analysis; Culturing of cells for others for scientific research purposes; Research and development of conjugated antibodies; Research and development of antibody-drug conjugates; Pharmaceutical research services; Pharmaceutical research and development; Biotechnology research; Providing reagent sample testing and diagnostic services for others for scientific research purposes; Cell culture services for scientific and research purposes, for others",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,009,50002134,5,"021,023,026,036,038,",2026-07-20,0,50002134,009,"Application-specific integrated circuits (ASICs); Integrated circuits; Microprocessors; Graphic chips; Digital signal processors (DSPs); Field programmable gate arrays (FPGAs); Printed circuit boards; Printed circuits; Chip carriers; Electronic couplers; Power dividers; Switches; Mixers; Modulators; Beam formers; Digital frequency discriminators; Digital radio frequency memories Antennas; Antenna feeds; Antenna pedestals; Complex microwave signal distribution networks consisting primarily of antennas, antenna feeds, transmitters, and receivers; Radio transmitters; Radio receivers; Radio receiver-transmitters; Radio communication systems; Audio and data intercommunications systems; Communications systems for military, homeland security, air traffic management, and related applications; Filters for radio interference suppression; Communications software for connecting computer hardware; Communications software for communicating with users of handheld radios; Radar apparatus; Maritime surveillance radar; Weather radar; Ground surveillance radar; Air defense radar systems; Air traffic control radar systems; Search target extractors; Beacon target extractors; Radar processors; Radar display terminals; Radar recorders; Video display processors; Radar software for air traffic control applications; Radar software for defense, surveillance, and military applications; Air traffic management and control systems; Aircraft position tracking systems; Flight data processors; Flight data display terminals; Flight data recorders; Aerospace electronics for monitoring aircraft and satellite navigation systems; Local area network-based aircraft tracking and radar systems; Security systems comprising radio transmitters, radio receivers, and personnel sensors; Ground, air, maritime, and underwater surveillance systems; Video surveillance systems; Surveillance systems comprising infrared, day, and night cameras; Surveillance system switches; Surveillance system monitors; Surveillance sy",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50002144,2,"022,039,",2026-07-21,0,50002144,025,"T-shirts; Shirts; Sweatshirts; Hooded sweatshirts; Sweaters; Tank tops; Long-sleeved shirts; Polo shirts; Long jackets; Coats; Vests; Pants; Sweatpants; Jogging pants; Shorts; Jeans; Leggings; Tracksuits; Athletic skirts; Athletic tights; Athletic pants; Athletic shirts; Athletic shorts; Athletic sweaters; Athletic bottoms; Athletic footwear; Sports jerseys; Underwear; Sports bra; Socks; Swimwear for men; Swimwear for women; Pajamas; Skirts; Hats; Beanies; Golf shirts; Sneakers; Footwear, namely, slides; Dress suits; Head sweatbands; Horse-riding boots; Body shirts; Dresses that may also be used as towels; Stretch pants; One-piece play suits; Infant wear; Swimwear; Skiwear; Boxer briefs; Rain suits; Light-reflecting jackets; Bras; Bathing suits; Bikinis; Headbands",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50002155,3,"100,101,107,",2026-07-20,0,50002155,041,"Educational services, namely, conducting workshops in the field of personal development and wellness",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,011,50002184,6,"013,021,023,024,031,034,",2026-07-20,0,50002184,011,"Ceiling lights; Chandeliers; Lamps; LED lamps; LED luminaires; Lighting apparatus, namely, lighting installations; Lighting fixtures; Lighting fixtures and ceiling mounts sold as a unit; Lighting installations; Lights for wall mounting; Pendant lighting fixtures; Reading lamps; Reading lights; Wall light fixtures; Wall lights",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,009,50002216,5,"021,023,026,036,038,",2026-07-20,0,50002216,009,"Computer hardware with preinstalled software for local execution of artificial intelligence models, API integration, workflow automation, model orchestration, data processing, and enterprise automation; Recorded computer software and hardware for local execution of artificial intelligence models, API integration, workflow automation, model orchestration, data processing, and enterprise automation sold as a unit",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50002238,2,"022,039,",2026-07-20,0,50002238,025,"Fabric sold as an integral component of finished clothing items, namely, underwear, intimate wear, bras, panties, shorts, swim wear, socks, camisoles and tank tops",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,035,50002262,3,"100,101,102,",2026-07-20,0,50002262,035,"Club services, namely, promoting the interests of people of leather.  Acting as a social and community service organization.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,021,50002344,8,"002,013,023,029,030,033,040,050,",2026-07-20,0,50002344,021,"Cosmetic brushes; Cups; Hair combs; Cups and mugs; Dishware; China ornaments; Garlic presses; Pet feeding bowls, automatic; Mops; Containers for household or kitchen use; Shaving dishes; Electric pet brushes; Cleaning sponges; Portable beverage container holder; Cleaning cloth",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,028,50002370,4,"022,023,038,050,",2026-07-20,0,50002370,028,"Plastic party hats; Party balloons; Ornaments for Christmas trees, except lights, candles and confectionery; Halloween masks; Paper party hats; Balloons; Craft sets for decorating balloons; Christmas tree decorations, except lights, candles, and confectionery; Christmas tree ornaments; Conical paper party hats; Party favor hats; Toy balloons",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,035,50002465,3,"100,101,102,",2026-07-20,0,50002465,035,Wholesale and retail store services featuring hardware and fasteners; Inventory management,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,036,50002504,3,"100,101,102,",2026-07-20,0,50002504,036,"Financial advisory and consultancy services, namely, in the area of financial health and financial well-being; Providing information in the field of personal finance; Financial services, namely, wealth management services; Providing information in the field of wealth management",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,017,50002520,6,"001,005,012,013,035,050,",2026-07-20,0,50002520,017,O-rings; O-shape rings; Gaskets made of rubber; Gaskets for industrial use; Oil seals; Rubber sheets,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,020,50002564,6,"002,013,022,025,032,050,",2026-07-20,0,50002564,020,commercial takeout containers,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50002584,2,"022,039,",2026-07-20,0,50002584,025,"Clothing, namely, T-shirts, joggers, jackets, hoodies, hats, Socks, jerseys, long sleeve t-shirts, tank tops, crop tops, T-shirt dress",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,021,50002608,8,"002,013,023,029,030,033,040,050,",2026-07-20,0,50002608,021,Reusable stainless steel water bottles sold empty,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,016,50002659,8,"002,005,022,023,029,037,038,050,",2026-07-20,0,50002659,016,Stickers; Paper party decorations; Drawing instruments; Coasters of cardboard; Origami folding paper; Plastic trash bags; Paper tissues; Paper notebooks; Framed paintings; Pen holders; Bookmarkers; Gift wrapping paper; Pen or pencil holders; Office stationery; Art prints; Adhesive tapes for stationery or household purposes; Flags and pennants of paper; Framed art pictures; Printed daily planners; Baking paper; Printed desk calendars,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50002676,2,"100,101,",2026-07-20,0,50002676,042,"Development of computer platforms; Quality management services, namely, quality evaluation and analysis, quality assurance, and quality control, in the field of  scientific research and testing; Scientific and technological services, namely, analysis in the field of projects focused on environmental protection; Energy auditing; Technology consultation in the field of saving of energy; Industrial design services",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,016,50002713,8,"002,005,022,023,029,037,038,050,",2026-07-20,0,50002713,016,Bags of paper or plastic for packaging; Fabric gift bags; Gift bags; Gift boxes; Gift boxes of cardboard or paper; Gift tags of paper; Gift wrapping paper; Paper bows for gift wrapping; Paper gift wrapping bows; Paper gift wrapping ribbons; Paper party bags; Party goodie bags of paper or plastic,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,044,50002885,2,"100,101,",2026-07-20,0,50002885,044,"Landscape design; Landscape gardening; Horticultural services, namely, installing sod; Harvesting sod for others; Plant nursery services; Tree planting; Garden tree planting; Planting of trees; Planting of saplings; Consultancy relating to tree planting; Propagation of plants for others; Tree planting for carbon offsetting purposes; Providing information about irrigation of plants; Tree planting for environmental conservation purposes; Consulting in the field of flower planting; Horticultural processes and turf or lawn care services, namely, providing preparation and development of turfgrass and/or soil for providing an environment that encourages improved growth attributes; Landscape architecture; Landscape architecture services",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,005,50002898,7,"005,006,018,044,046,051,052,",2026-07-20,0,50002898,005,Nutraceuticals provided by a compounding pharmacy by prescription,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,035,50002910,3,"100,101,102,",2026-07-20,0,50002910,035,"Business advisory services; Business management consulting; Consulting in sales techniques and sales programmes; Consulting in the field of sales methods, sales management, and sales improvement; On-line retail store services featuring various clothing, gift, and novelty items such as mugs, pens, shirts, coats, pants, shoes, and hats",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,021,50002993,8,"002,013,023,029,030,033,040,050,",2026-07-20,0,50002993,021,"Boot trays, namely, trays for boots and shoes; stepping stones and stair treads; window boxes",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50003096,2,"100,101,",2026-07-20,0,50003096,042,"Software as a service featuring software for assessing weather and climate risk, pricing and administering weather-risk contracts, providing meteorological information, and enabling users to create, manage, and track parametric weather-risk protection products.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,018,50003206,5,"001,002,003,022,041,",2026-07-20,0,50003206,018,All purpose sports bags; Athletics bags; Back packs; Backpacks for pets; Bags for carrying pets; Bags for sports; Rainproof parasols; Sun umbrellas; Umbrellas; Umbrellas and parasols,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,001,50003231,6,"001,005,006,010,026,046,",2026-07-20,0,50003231,001,Chemicals for use in aquariums; Soil conditioning preparations; Plant nutrients; Chemicals for use in purifying water; Water purifying chemicals for swimming pools; Natural microorganisms used in pond maintenance; Biologically active enzymes and microorganisms that are aimed at sanitising water environments and to treat the activation and optimisation of biological filter systems; Enzyme preparations for use in the detergents industry; Fertilizers for household plants; Natural microorganisms used in aquarium water maintenance; Microorganisms for use in water treatment; Biological preparations for use in treating septic tanks; Microorganisms in tablet form used in pond maintenance; Biological preparations for bioremediation; Enzyme preparations for bioremediation,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50003261,2,"100,101,",2026-07-20,0,50003261,042,"Computer programming services, namely, Providing temporary use of on-line non-downloadable software for the automated, GPS-based scoring, assessment, and analysis of aircraft pilot flight-training performance, including instrument approach procedures and flight maneuvers.",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,009,50003325,5,"021,023,026,036,038,",2026-07-20,0,50003325,009,Downloadable computer networking software; Downloadable computer software for database management; Downloadable computer programs for project management; Downloadable project management software; Downloadable computer software for use in customer relationship management (CRM),2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,030,50003421,1,"046,",2026-07-20,0,50003421,030,Flour; Cereal-based snack foods,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
