SER_NUM,TEST_PCTRAM_LINK,LAW_OFFICE,FILING_BASIS_CUR,FILING_METHOD_FILED,FILING_METHOD_CUR,FILING_BASIS_FIL,FILING_BASIS_AMED,REGISTRATION_NUMBER,AM_FLG_66A_FIL,AM_FLG_44D_FIL,AM_FLG_44E_FIL,FLG_PAPER_FIL,AM_STAT,AM_FLG_NO_BAS_FIL,AM_FLG_TEASRF_FIL,AM_FLG_USE_FIL,AM_FLG_ITU_FIL,AM_FLG_TEASPL_FIL,LAST_MODIFIED_DATE,FILING_BASIS_GRP,MARK_DWG_CD,MARK_DWG_DESC,MARK_NM_SHORT,MARK_NM,TMNG_IMAGE_LINK,TM_ANALYTICS_TS,EXMR_EID,STATUS_DT,create_ts,create_user_id,update_ts,update_user_id,SRCHRG_IND
50000164,https://review.tm-examcenter.aws.uspto.gov/review/50000164,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T17:38:49.000Z,ITU,4,STANDARD CHARACTER MARK,JAVALUJAH,JAVALUJAH,http://tmng-al.uspto.gov/resting2/api/img/50000164/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T11:49:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000184,https://review.tm-examcenter.aws.uspto.gov/review/50000184,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-18T18:40:12.000Z,USE,4,STANDARD CHARACTER MARK,VAVENRIC,VAVENRIC,http://tmng-al.uspto.gov/resting2/api/img/50000184/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T12:36:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000192,https://review.tm-examcenter.aws.uspto.gov/review/50000192,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T13:01:10.000Z,ITU,4,STANDARD CHARACTER MARK,VYELO,VYELO,http://tmng-al.uspto.gov/resting2/api/img/50000192/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T12:59:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000213,https://review.tm-examcenter.aws.uspto.gov/review/50000213,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T18:32:21.000Z,ITU,4,STANDARD CHARACTER MARK,"ETY,OLOGY","ETY,OLOGY",http://tmng-al.uspto.gov/resting2/api/img/50000213/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T13:52:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000231,https://review.tm-examcenter.aws.uspto.gov/review/50000231,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T07:44:47.000Z,USE,4,STANDARD CHARACTER MARK,COMO DEMO,COMO DEMO,http://tmng-al.uspto.gov/resting2/api/img/50000231/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T14:30:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000269,https://review.tm-examcenter.aws.uspto.gov/review/50000269,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T14:23:44.000Z,USE,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),OTHVYSAN,OTHVYSAN,http://tmng-al.uspto.gov/resting2/api/img/50000269/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T14:45:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000281,https://review.tm-examcenter.aws.uspto.gov/review/50000281,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T07:56:56.000Z,USE,4,STANDARD CHARACTER MARK,MATHNUSA,MATHNUSA,http://tmng-al.uspto.gov/resting2/api/img/50000281/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T15:13:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000362,https://review.tm-examcenter.aws.uspto.gov/review/50000362,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T17:09:47.000Z,ITU,4,STANDARD CHARACTER MARK,BALANCE,BALANCE,http://tmng-al.uspto.gov/resting2/api/img/50000362/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T17:08:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000373,https://review.tm-examcenter.aws.uspto.gov/review/50000373,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T18:07:28.000Z,ITU,4,STANDARD CHARACTER MARK,TWO IF BY SKI,TWO IF BY SKI,http://tmng-al.uspto.gov/resting2/api/img/50000373/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T17:31:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000379,https://review.tm-examcenter.aws.uspto.gov/review/50000379,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-19T12:35:28.000Z,ITU,4,STANDARD CHARACTER MARK,TEYON,TEYON,http://tmng-al.uspto.gov/resting2/api/img/50000379/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T17:39:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000523,https://review.tm-examcenter.aws.uspto.gov/review/50000523,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T17:49:02.000Z,USE,4,STANDARD CHARACTER MARK,NOT MY PINK,NOT MY PINK,http://tmng-al.uspto.gov/resting2/api/img/50000523/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T22:19:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000532,https://review.tm-examcenter.aws.uspto.gov/review/50000532,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-31T11:16:53.000Z,USE,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),K,K,http://tmng-al.uspto.gov/resting2/api/img/50000532/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T22:40:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000555,https://review.tm-examcenter.aws.uspto.gov/review/50000555,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T17:29:17.000Z,USE,4,STANDARD CHARACTER MARK,HOLY CITY HEROES,HOLY CITY HEROES,http://tmng-al.uspto.gov/resting2/api/img/50000555/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T00:10:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000589,https://review.tm-examcenter.aws.uspto.gov/review/50000589,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-19T17:57:32.000Z,ITU,4,STANDARD CHARACTER MARK,THINK TWICE LIVING,THINK TWICE LIVING,http://tmng-al.uspto.gov/resting2/api/img/50000589/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T04:13:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000598,https://review.tm-examcenter.aws.uspto.gov/review/50000598,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T17:56:56.000Z,USE,4,STANDARD CHARACTER MARK,QYVENA,QYVENA,http://tmng-al.uspto.gov/resting2/api/img/50000598/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T04:52:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000601,https://review.tm-examcenter.aws.uspto.gov/review/50000601,null,ITU,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-29T13:22:11.000Z,USE,4,STANDARD CHARACTER MARK,WINNERS CAR WASH,WINNERS CAR WASH,http://tmng-al.uspto.gov/resting2/api/img/50000601/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T04:53:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000632,https://review.tm-examcenter.aws.uspto.gov/review/50000632,130,ITU,BASE,BASE,ITU,,0,0,0,0,null,641,0,0,0,1,0,2026-07-19T17:46:20.000Z,ITU,4,STANDARD CHARACTER MARK,ALIX BROOKS,ALIX BROOKS,http://tmng-al.uspto.gov/resting2/api/img/50000632/Large,2026-09-08T08:10:39.000Z,99078,2026-08-19T17:18:28.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000646,https://review.tm-examcenter.aws.uspto.gov/review/50000646,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T17:57:02.000Z,USE,4,STANDARD CHARACTER MARK,PREPROOF,PREPROOF,http://tmng-al.uspto.gov/resting2/api/img/50000646/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T10:05:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000665,https://review.tm-examcenter.aws.uspto.gov/review/50000665,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T18:06:04.000Z,USE,4,STANDARD CHARACTER MARK,ACCORTUS FOUNDRY,ACCORTUS FOUNDRY,http://tmng-al.uspto.gov/resting2/api/img/50000665/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T11:02:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000674,https://review.tm-examcenter.aws.uspto.gov/review/50000674,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T09:16:16.000Z,ITU,4,STANDARD CHARACTER MARK,MAGGZIN,MAGGZIN,http://tmng-al.uspto.gov/resting2/api/img/50000674/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T11:22:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000711,https://review.tm-examcenter.aws.uspto.gov/review/50000711,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T17:48:50.000Z,USE,4,STANDARD CHARACTER MARK,BSMTEK,BSMTEK,http://tmng-al.uspto.gov/resting2/api/img/50000711/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T12:21:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000713,https://review.tm-examcenter.aws.uspto.gov/review/50000713,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-19T21:50:33.000Z,ITU,4,STANDARD CHARACTER MARK,STELLA BREZZA,STELLA BREZZA,http://tmng-al.uspto.gov/resting2/api/img/50000713/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T12:25:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000755,https://review.tm-examcenter.aws.uspto.gov/review/50000755,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T12:47:06.000Z,ITU,2,AN ILLUSTRATION DRAWING WITHOUT ANY WORD(S)/LETTER(S)/NUMBER(S),,,http://tmng-al.uspto.gov/resting2/api/img/50000755/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T13:49:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000875,https://review.tm-examcenter.aws.uspto.gov/review/50000875,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T23:40:02.000Z,USE,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),THE CAULKING FINGER,THE CAULKING FINGER,http://tmng-al.uspto.gov/resting2/api/img/50000875/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T17:25:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000892,https://review.tm-examcenter.aws.uspto.gov/review/50000892,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T22:20:42.000Z,USE,4,STANDARD CHARACTER MARK,LIONESZ,LIONESZ,http://tmng-al.uspto.gov/resting2/api/img/50000892/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T18:21:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000893,https://review.tm-examcenter.aws.uspto.gov/review/50000893,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-19T18:36:10.000Z,ITU,4,STANDARD CHARACTER MARK,WORLD CUP,WORLD CUP,http://tmng-al.uspto.gov/resting2/api/img/50000893/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T18:22:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000920,https://review.tm-examcenter.aws.uspto.gov/review/50000920,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T22:35:59.000Z,USE,4,STANDARD CHARACTER MARK,STAYKIT,STAYKIT,http://tmng-al.uspto.gov/resting2/api/img/50000920/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T19:15:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000928,https://review.tm-examcenter.aws.uspto.gov/review/50000928,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-19T23:44:56.000Z,ITU,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),A,A,http://tmng-al.uspto.gov/resting2/api/img/50000928/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T19:31:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000955,https://review.tm-examcenter.aws.uspto.gov/review/50000955,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-19T22:29:35.000Z,ITU,5,AN ILLUSTRATION DRAWING WITH WORD(S)/LETTER(S)/NUMBER(S) IN STYLIZED FORM,RINVOL,RINVOL,http://tmng-al.uspto.gov/resting2/api/img/50000955/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T20:27:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001008,https://review.tm-examcenter.aws.uspto.gov/review/50001008,null,44E,BASE,BASE,44E,,0,0,0,1,null,630,0,0,0,0,0,2026-07-19T23:55:45.000Z,44E,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),DAPHNE,DAPHNE,http://tmng-al.uspto.gov/resting2/api/img/50001008/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T21:53:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001055,https://review.tm-examcenter.aws.uspto.gov/review/50001055,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-23T09:59:45.000Z,ITU,4,STANDARD CHARACTER MARK,MIND SAGE,MIND SAGE,http://tmng-al.uspto.gov/resting2/api/img/50001055/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T19:11:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001058,https://review.tm-examcenter.aws.uspto.gov/review/50001058,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-20T12:29:41.000Z,USE,4,STANDARD CHARACTER MARK,LOVEMUNIII,LOVEMUNIII,http://tmng-al.uspto.gov/resting2/api/img/50001058/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T23:16:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001062,https://review.tm-examcenter.aws.uspto.gov/review/50001062,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-19T23:56:50.000Z,USE,4,STANDARD CHARACTER MARK,GOLDEN BITES,GOLDEN BITES,http://tmng-al.uspto.gov/resting2/api/img/50001062/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T23:23:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001076,https://review.tm-examcenter.aws.uspto.gov/review/50001076,126,USE,BASE,BASE,USE,,0,0,0,0,null,686,0,0,1,0,0,2026-08-25T01:17:47.000Z,USE,4,STANDARD CHARACTER MARK,JRV,JRV,http://tmng-al.uspto.gov/resting2/api/img/50001076/Large,2026-09-08T08:10:39.000Z,93970,2026-08-25T01:17:47.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001094,https://review.tm-examcenter.aws.uspto.gov/review/50001094,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-20T07:09:06.000Z,USE,4,STANDARD CHARACTER MARK,LZQ,LZQ,http://tmng-al.uspto.gov/resting2/api/img/50001094/Large,2026-09-08T08:10:39.000Z,0,2026-07-19T23:54:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001109,https://review.tm-examcenter.aws.uspto.gov/review/50001109,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T07:25:23.000Z,ITU,4,STANDARD CHARACTER MARK,PROTEINPACT,PROTEINPACT,http://tmng-al.uspto.gov/resting2/api/img/50001109/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T00:16:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001131,https://review.tm-examcenter.aws.uspto.gov/review/50001131,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T01:16:02.000Z,ITU,4,STANDARD CHARACTER MARK,LUMIVYX,LUMIVYX,http://tmng-al.uspto.gov/resting2/api/img/50001131/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T01:14:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001208,https://review.tm-examcenter.aws.uspto.gov/review/50001208,null,44E,BASE,BASE,44E,,0,0,0,1,null,630,0,0,0,0,0,2026-07-20T08:33:53.000Z,44E,4,STANDARD CHARACTER MARK,TEAHAUS,TEAHAUS,http://tmng-al.uspto.gov/resting2/api/img/50001208/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T03:42:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001211,https://review.tm-examcenter.aws.uspto.gov/review/50001211,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-08-05T06:18:47.000Z,USE,4,STANDARD CHARACTER MARK,KREANVIO,KREANVIO,http://tmng-al.uspto.gov/resting2/api/img/50001211/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T03:52:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001246,https://review.tm-examcenter.aws.uspto.gov/review/50001246,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-20T06:01:29.000Z,USE,4,STANDARD CHARACTER MARK,LUXURIATE,LUXURIATE,http://tmng-al.uspto.gov/resting2/api/img/50001246/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T05:59:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001274,https://review.tm-examcenter.aws.uspto.gov/review/50001274,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-20T09:08:19.000Z,USE,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),DAWSON WATERCRAFT LAUNCHING SYSTEMS,DAWSON WATERCRAFT LAUNCHING SYSTEMS,http://tmng-al.uspto.gov/resting2/api/img/50001274/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T06:59:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001306,https://review.tm-examcenter.aws.uspto.gov/review/50001306,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T09:23:52.000Z,ITU,4,STANDARD CHARACTER MARK,TAPJOURNEY,TAPJOURNEY,http://tmng-al.uspto.gov/resting2/api/img/50001306/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T08:11:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001326,https://review.tm-examcenter.aws.uspto.gov/review/50001326,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T08:57:05.000Z,ITU,4,STANDARD CHARACTER MARK,ORESSA MENIKO STUDIOS,ORESSA MENIKO STUDIOS,http://tmng-al.uspto.gov/resting2/api/img/50001326/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T08:35:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50001346,https://review.tm-examcenter.aws.uspto.gov/review/50001346,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-20T09:02:29.000Z,ITU,4,STANDARD CHARACTER MARK,TRIKKSTER,TRIKKSTER,http://tmng-al.uspto.gov/resting2/api/img/50001346/Large,2026-09-08T08:10:39.000Z,0,2026-07-20T08:58:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
