mailing_address_gid,name_line_1_tx,name_line_2_tx,street_line_1_tx,street_line_2_tx,city_nm,geographic_region_cd,geographic_region_nm,postal_cd,country_cd,country_nm,department_nm,address_type_ct,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,action_ct
MailingAddr:0:187775,FIRST AGRICULTURAL BANK   ,null, ,99 WEST ST. ,PITTSFIELD,MA,MASSACHUSETTS,01201,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:187776,"GREENFIELD, RONALD E.   ",null, ,5 WYNGATE PLACE ,GREAT NECK,NY,NEW YORK,11021,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:187777,"COLEMAN COMPANY, INC., THE   ",null, ,250 N. ST. FRANCIS AVE. ,WICHITA,KS,KANSAS,67201,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:187778,FOLDCRAFT COMPANY   ,null, ,615 CENTENNIAL DRIVE ,KENYON,MN,MINNESOTA,55946,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:187779,FOLDCRAFT COMPANY   ,null, ,615 CENTENNIAL DRIVE ,KENYON,MN,MINNESOTA,55946,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188127,"JUDD & JUDD, INC.   ",null, ,4530 SOUTH JACKSON ,TULSA,OK,OKLAHOMA,74107,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188128,"JUDD & JUDD, INC.   ",null, ,4530 SOUTH JACKSON ,TULSA,OK,OKLAHOMA,74107,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188129,"UNIVERSAL FILTRATION, INC.   ",null,P.O. BOX 3610 , ,ALHAMBRA,CA,CALIFORNIA,91803,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188130,"UNIVERSAL FILTRATION, INC.   ",null,P.O. BOX 3610 , ,ALHAMBRA,CA,CALIFORNIA,91803,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188131,"UNIVERSAL FILTRATION, INC.   ",null,P.O. BOX 3610 , ,ALHAMBRA,CA,CALIFORNIA,91803,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188132,Adda Corporation   ,null, ,"6, East Section Industry 6 Road ",Ping Tung City,null,null, ,TW,TAIWAN,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188133,"SAXON ENTERPRISES, INC.   ",null, ,135 Sylvan Street ,Verona,PA,PENNSYLVANIA,15147,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188134,"MCM MARTIN CHRISTINA MARC HOLDINGS, INC.  ",null,Chancery House , ,"The Mall, Freeport",null,null, ,BS,BAHAMAS,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188135,"SAXON ENTERPRISES, INC.   ",null, ,135 Sylvan Street ,Verona,PA,PENNSYLVANIA,15147,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188136,"CYPRESS SOFTWARE, INC.   ",null, ,"Suite 200, 210 Crown Point Circle ",Longwood,FL,FLORIDA,32779,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188137,"BILLIKEN TRADING, INC.   ",null, ,424 MADISON DRIVE ,SAN JOSE,CA,CALIFORNIA,95123,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188138,"BILLIKEN TRADING, INC.   ",null, ,424 MADISON DRIVE ,SAN JOSE,CA,CALIFORNIA,95123,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188139,"TELEVIDEO SYSTEMS, INC.   ",null, ,550 E. BROKAW ROAD ,SAN JOSE,CA,CALIFORNIA,95112,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:188140,"TELEVIDEO SYSTEMS, INC.   ",null, ,550 E. BROKAW ROAD ,SAN JOSE,CA,CALIFORNIA,95112,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:50.847Z,3333330003,2019-01-20T05:11:50.847Z,3333330003,Transaction:0:1,2019-01-20T05:11:50.847Z,null,I
MailingAddr:0:14310,ALBERTO-CULVER COMPANY   ,null,"100 W. 10TH STREET WILMINGTON, DELAWARE","2525 ARMITAGE AVE. MELROSE PARK, ILL.",MELROSE PARK,IL,ILLINOIS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:14311,"RIVERSIDE & DAN RIVER COTTON MILLS, INC.  ",null, , ,DANVILLE,VA,VIRGINIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:14312,DAN RIVER INC.   ,null, ,2291 MEMORIAL DR. ,DANVILLE,VA,VIRGINIA,24541,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:14313,"ELECTRICAL INDUSTRIES, INC.   ",null, ,42 SUMMER AVENUE ,NEWARK,NJ,NEW JERSEY, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:29469,"GOODYEAR TIRE & RUBBER COMPANY, THE   ",null,200 Innovation Way , ,Akron,OH,OHIO,443160001,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:29470,"JOSEPH H. COHEN & SONS, INC.   ",null, ,71 5TH AVE. ,NEW YORK,NY,NEW YORK, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28385,UNITED GILSONITE LABORATORIES   ,null, ,"SCRANTON, PA. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28386,NELES OY   ,null, ,"Levytie 6, P.O. Box 6 ",SF-00881 Helsinki,null,null, ,FI,FINLAND,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28387,Metaxas Kostas   ,null, ,511 Brunswick Street ,"North Fitzroy, Victoria",null,null, ,AU,AUSTRALIA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28388,Moorman Manufacturing Company   ,null, , ,Quincy,IL,ILLINOIS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28389,"R. GSELL & CO., INC.   ",null, ,"NEW YORK, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28390,"INTERNATIONAL NICKEL COMPANY, INC., THE   ",null, ,"NEW YORK, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28391,"FOREST CITY PRODUCTS, INC.   ",null, ,"CLEVELAND, OHIO ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28392,"Brown Shoe Company, Inc.   ",null, ,1600 Washington Avenue ,St. Louis,MO,MISSOURI, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28393,Strathmore Paper Company   ,null, , ,West Springfield,MA,MASSACHUSETTS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28394,Hammermill Paper Company   ,null, , ,Erie,PA,PENNSYLVANIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28395,HAMMERMILL PAPER COMPANY   ,null, , ,ERIE,PA,PENNSYLVANIA,16512,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28396,"BROWN SHOE COMPANY, INC.   ",null,8300 MARYLAND AVENUE , ,ST. LOUIS,MO,MISSOURI,63105,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28397,MOLLART ENGINEERING COMPANY LIMITED   ,null, ,"SURBITON, ENGLAND ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28398,WINTHROP PRODUCTS INC.   ,null, ,"NEW YORK, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28399,"COUGHMASTER COMPANY, INC.   ",null, ,"LONG ISLAND CITY, N.Y. REPUBLISHED BY DRYDEN & PALMER, INC.,/LONG ISLAND CITY, N.Y.", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28400,DAVIDSON MANUFACTURING CORPORATION   ,null, , ,CHICAGO,IL,ILLINOIS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28401,"RAINBOW SHOPS, INC.   ",null, ,"BROOKLYN, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28402,"REVERE KNITTING MILLS, INC.   ",null, ,"MALDEN, MASS. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28403,"Bossert Industrial Supply, Inc.   ",null, ,5959 W. Howard Street ,Niles,IL,ILLINOIS,60648,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28404,Planners Plus Enterprises Ltd.   ,null, ,382 W. Broadway ,"Vancouver, British columbia",null,null,V5Y 1R2,CA,CANADA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28405,"Jay's Krispy Fried Chicken of Sikeston, Inc.  ",null,218 N. Main ,P.O. Box 1065 ,Sikeston,MO,MISSOURI,63801,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28406,"Pham, Dau   ",null, ,376 Neilson Ct. ,San Jose,CA,CALIFORNIA,95111,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28407,CALBIOCHEM CORPORATION   ,null, ,10933 North Torrey Pines Road ,La Jolla,CA,CALIFORNIA,92037,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28408,"Charter Transportation (Netherlands) B.V., Barbados Branch  ",null,P.O. Box 1318 , ,Bridgetown,null,null, ,BB,BARBADOS,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28409,FPG INTERNATIONAL CORP.   ,null, ,32 Union Square East ,New York,NY,NEW YORK,10003,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28929,Genoa Systems Corporation   ,null, ,75 E. Trimble Road ,San Jose,CA,CALIFORNIA,95131,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28930,"Baroid Technology, Inc.   ",null, ,3000 North Sam Houston Parkway East ,Houston,TX,TEXAS,77032,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28931,W.P. ALLEN   ,null, ,"PADUCAH, KY. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28932,J. B. & S. LEES LTD.   ,null, ,"ALBION STRIP MILLS, ALBION RD. ","WEST BROMWICH, WEST MIDLANDS",null,null,B70 8BH,GB,UNITED KINGDOM,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28933,RAYELLE FOREIGN TRADE SERVICE   ,null, ,76 W. CHELTEN AVENUE ,PHILADELPHIA,PA,PENNSYLVANIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28934,JULIUS FORSTER   ,null, ,"NEW YORK, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28935,CAMEL MANUFACTURING COMPANY   ,null, ,329 SOUTH CENTRAL STREET ,KNOXVILLE,TN,TENNESSEE, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28936,NIAGARA DUPLICATOR CO.   ,null, , ,SAN FRANCISCO,CA,CALIFORNIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28937,"WHITNEY BLAKE COMPANY, THE   ",null, ,"HAMDEN, CONN. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28938,"EVERSHARP, INC.   ",null, ,"CHICAGO, ILL. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.931Z,3333330003,2019-01-20T05:11:22.931Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.931Z,null,I
MailingAddr:0:28939,"O-CEL-O, INC.   ",null, ,NUMBER ONE GENERAL BLVD. ,BUFFALO,NY,NEW YORK,14150,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:23.154Z,3333330003,2019-01-20T05:11:23.154Z,3333330003,Transaction:0:1,2019-01-20T05:11:23.154Z,null,I
MailingAddr:0:28940,"GENERAL MILLS, INC.   ",null, ,NUMBER ONE GENERAL BLVD. ,MINNEAPOLIS,MN,MINNESOTA,55426,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:23.154Z,3333330003,2019-01-20T05:11:23.154Z,3333330003,Transaction:0:1,2019-01-20T05:11:23.154Z,null,I
MailingAddr:0:28941,"WOOLFOLK CHEMICAL WORKS, LTD.   ",null, ,"FORT VALLEY,. GA. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:23.154Z,3333330003,2019-01-20T05:11:23.154Z,3333330003,Transaction:0:1,2019-01-20T05:11:23.154Z,null,I
MailingAddr:0:28942,KING MILLING COMPANY   ,null, ,115 S. BROADWAY ,LOWELL,MI,MICHIGAN,49331,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:23.154Z,3333330003,2019-01-20T05:11:23.154Z,3333330003,Transaction:0:1,2019-01-20T05:11:23.154Z,null,I
MailingAddr:0:28943,CSP FOODS LTD.   ,null, ,870 - 360 MAIN STREET ,"WINNEPEG, MANITOBA",null,null,R3C 3Z3,CA,CANADA,null,S,0,2019-01-20T05:11:23.154Z,3333330003,2019-01-20T05:11:23.154Z,3333330003,Transaction:0:1,2019-01-20T05:11:23.154Z,null,I
